# state.name lon lat
s0047 51.69142977044586 51.26098467265784
s0052 47.292551465862566 52.263400492750996
s0085 52.043947760584174 53.67406027272892
s0045 53.4866634761705 46.856986313764395
s0095 53.7913722281657 45.15351970536573
s0010 51.3285270047341 54.8545117758521
s0012 52.99521533165502 52.75680565651732
s0051 50.92538274262991 50.94211621694174
s0056 48.44824072863143 48.919464237626144
s0062 49.80217964117242 49.87031555476508
s0100 47.809046448336076 45.64274730742581
s0057 46.62770018281748 48.82529019167654
s0082 47.15465227855871 49.69065445985637
s0092 49.76059457555982 48.50511359214006
s0061 49.85608376050244 49.437310148489004
s0096 48.74790737181749 49.584292331004946
s0099 48.398148859658335 45.807245467941854
s0011 49.06174125291743 48.560046471819255
s0008 51.17308756188697 48.973487656857706
s0078 52.93759845952553 49.73150258220337
s0090 47.05454283509066 54.93957351877868
s0075 53.81156990257939 49.92638534097935
s0064 52.08975426191057 50.871849592620606
s0034 52.64816052859167 51.428140616757744
s0035 52.54664739763008 51.38175862340536
s0081 49.897620328844354 47.7717157599848
s0036 48.56412118010622 46.74084537469356
s0003 50.64764788228259 47.11732449360468
s0009 50.365156959951996 46.92652213846436
s0089 50.9980361977067 54.25692176998833
s0004 49.01791236100578 53.132015374253754
s0077 48.89219038889262 54.80850198073183
s0084 48.58656999299683 53.149179414873345
s0065 48.7088241439616 50.89500128438422
s0067 48.95592137512929 51.196007830505835
s0080 47.502276331862184 50.00287190241247
s0014 52.306212330325025 50.44360531395655
s0016 54.93298751996265 53.69291633059771
s0031 53.05822911425935 46.65920124711582
s0026 51.27682536628462 51.342994321558834
s0025 49.250955163686456 51.60560816724713
s0055 48.575007899404284 50.43635299390361
s0037 51.2140717096056 45.471816497617276
s0021 47.991196002033426 50.33949686164065
s0060 48.239250355837974 50.98567222428079
s0063 48.01586438699405 50.65770950515645
s0097 50.29876545612431 46.81680204475465
s0074 49.07504319993016 47.0739914226405
s0079 49.73656740102823 46.192564190960844
s0086 49.18222932300195 46.17229462185355
s0018 49.80895366479814 48.12081424571126
s0007 52.15588309178118 49.44029585309703
s0068 52.757010225292085 47.760995103422694
s0066 45.8940827651829 45.87193091789007
s0073 54.58025993953888 46.79893670858873
s0098 50.05526841364984 48.28527389567017
s0040 45.38454264743568 49.316533011048776
s0049 46.36323877517036 47.31028227498341
s0019 46.0192914133521 47.87373152722618
s0029 45.93194160703758 46.18645684538427
s0023 53.543943391918205 45.45138020714467
s0033 47.41690375787215 49.469423550646994
s0058 47.38093977683458 49.611712152124454
s0072 51.350559204891795 51.76954741886232
s0013 52.31636727151815 47.8131922807645
s0048 49.35950539787274 54.1153321444033
s0017 51.01826050727571 47.163031495704054
s0002 52.36282629651413 52.22958252693866
s0059 54.46899858163027 54.66421723620848
s0030 52.05319332606233 48.31666227161661
s0005 54.58745394375721 47.95567500388759
s0076 54.38132382791475 47.65337331791959
s0042 53.96599614692106 53.275378291644884
s0044 54.116538958449716 49.920314955961786
s0053 53.935708356118255 54.006378561240865
s0001 50.37791212036195 49.57121164619286
s0006 53.48272468258269 49.67106511849414
s0091 53.454629808647084 47.91278321775509
s0027 52.48187690294697 51.33664805312415
s0083 52.20465692399756 48.01809745466907
s0054 47.368638829828896 48.237025627652976
s0028 47.02837819323096 47.48974513218474
s0038 47.72102013245599 45.720162781362106
s0087 48.95419092338753 45.4943502296557
s0032 52.98087678512498 54.88539568398393
s0046 46.81957294028151 54.79521882408886
s0041 53.326569535732986 49.83302023279507
s0094 54.35902365384163 50.96867502184083
s0022 50.029807109291895 54.978067996705626
s0050 51.33758230494656 53.7952307985978
s0088 45.60445847716184 54.42503152674268
s0024 46.25312753946277 54.54324643416952
s0015 47.05358471052312 54.71963689978485
s0070 47.108972731462714 54.40064686124434
s0093 47.54709677225581 48.926775817775194
s0071 45.180480598570774 51.91568580668914
s0039 49.33970816718822 52.813243430148454
s0069 45.64654795848603 51.6199009332586
s0020 50.481493217539814 52.52008039059528
s0043 52.32939283796615 52.24194247409039
|SouthWest| 0 0
|NorthEast| 100 100
