# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jul 10 16:35:21 BST 2019 [seed=1562772909926]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	X.precision.col1	X.varCovar.X.precision.col1	X.diffusionRate	Y.precision.col1	Y.varCovar.Y.precision.col1	Y.diffusionRate	X.traitLikelihood	Y.traitLikelihood
0	-114.84294959741753	1.107855207166211	-115.95080480458374	2.8890728550357716	0.0	39.396435883904395	0.05	20.0	0.9077648374826858	0.05	20.0	0.7494364797261108	-63.35131996422545	-52.599484840358286
1000	-115.60916367604824	1.3320437485972108	-116.94120742464546	2.8890728550357716	0.0	39.396435883904395	0.041014552984322425	24.38158963678683	0.8831522609608843	0.0396876390931296	25.196762086387544	0.8004983512887197	-62.73679906568209	-54.20440835896336
2000	-113.83625413475797	1.0621824354915637	-114.89843657024953	2.8890728550357716	0.0	39.396435883904395	0.04316369719314664	23.167616887062586	0.952420800245858	0.06306482898529855	15.85669883023256	0.7103023838662044	-62.78963142603227	-52.10880514421726
3000	-113.81269654050367	1.1630226470745457	-114.9757191875782	2.8890728550357716	0.0	39.396435883904395	0.0363240424100133	27.529975565834437	0.966944829015092	0.061753679556843556	16.193367054015162	0.8448306319027964	-62.875996239244316	-52.09972294833389
4000	-117.21864390259515	0.767113906903284	-117.98575780949844	2.8890728550357716	0.0	39.396435883904395	0.05197159482917005	19.24127984309481	0.8649831139098124	0.09108346095600797	10.978941615788907	0.7025996490074957	-63.60835729675509	-54.37740051274335
5000	-114.17551047424895	1.200062830132209	-115.37557330438116	2.8890728550357716	0.0	39.396435883904395	0.032779660844366613	30.506721980677728	1.037634831657095	0.06364961415960005	15.71101432747921	0.7461534290141535	-63.25913522407795	-52.11643808030321
6000	-117.15470728168096	1.212792449017303	-118.36749973069826	2.8890728550357716	0.0	39.396435883904395	0.025051376459101403	39.91796624958268	0.9906934663416342	0.08045785606113855	12.428867098324334	0.7641995068541321	-65.24232246375549	-53.12517726694277
7000	-114.55786993886719	1.0964323180112157	-115.6543022568784	2.8890728550357716	0.0	39.396435883904395	0.04899118241867159	20.411836388314615	0.9241287073563358	0.05214931075211168	19.175708855548145	0.6896046319629515	-63.23494615864619	-52.419356098232214
8000	-116.09930596545728	1.0826894187850284	-117.1819953842423	2.8890728550357716	0.0	39.396435883904395	0.0559392739112648	17.876528064813236	0.9348916145202069	0.04686658825108706	21.33716230083817	0.8024094818594798	-64.23424465261583	-52.94775073162647
9000	-114.22435010272503	1.2766863042969814	-115.50103640702201	2.8890728550357716	0.0	39.396435883904395	0.03641270891664857	27.462938895567348	0.8825633229458959	0.04966915387463637	20.13321995627253	0.7760402079749181	-62.869737528809594	-52.63129887821242
