	X	Y
T0	-1.0416833831360992	1.2014203869960518
T1	-0.32271026336525516	0.520891417417388
T2	-0.34161067199997786	0.5061262581916656
T3	-0.32748914646903804	1.8174448961878835
T4	-0.1892228040608219	0.8266496376832314
T9	-0.5790014539093232	0.9436072057881781
T10	-0.6346958774073334	0.7833476357307936
T11	-0.61509090805503	0.770824701403674
T12	-0.765461111479672	1.5252251685480234
T13	-0.5703121228030812	0.9085827068606602
T19	-3.414972196952771	3.489875832019826
T20	-4.0644468168494745	3.6870327086492853
T21	-3.377479220181645	4.139627930648622
T22	-4.0808840803467445	3.7005448076461516
T23	-4.173212609864872	4.063235756855536
T29	-3.8607458151342797	1.839987963264281
T30	-4.378089007410233	1.8517137770700711
T31	-0.47849177338698756	1.8234893771739566
T32	-1.075855364325321	2.4464148158913552
T33	-3.2116202376357235	2.6753429585769273
