	X	Y
T0	1.3846195989875334	-1.5219353894411776
T1	1.2197097978207583	-1.55234475055286
T2	1.3359961723266132	-1.5646179923112518
T3	0.8960691977273461	-2.1809360606146067
T4	1.2832207511212652	-2.0808060245779605
T9	0.8835817716099692	-1.8871260533755612
T10	0.4436913782970118	-0.7591919444447801
T11	0.8999860584126846	-1.893192963552931
T12	2.5446373614984727	-1.197775137766885
T13	0.8882932338467113	-1.8927365319665708
T18	1.423130492014081	-1.302896968251693
T19	2.649990452256459	-2.1061748138610272
T20	2.7188983367443544	-2.2020311052956507
T21	0.8775762062317598	-1.272130859075976
T22	0.7545736458385646	-1.3628651645718344
T29	0.7165468501907154	-0.3297623810524338
T30	1.1018640677983995	0.12831575120875643
T31	-0.9291482618684743	0.22232488847052542
T32	0.7095647144646289	-0.33286107706874096
T33	-0.6964491481665643	0.4136415198174344
