	X	Y
T0	-2.8569368948258718	-3.1866356770699684
T1	-1.2605604255543539	-2.2894971712874965
T2	-1.0442621967852985	-3.450494311732449
T3	-0.5562618036022493	-3.3396852779933535
T4	-2.047098804909004	-3.0674106697000547
T9	-0.21489253525975566	1.3177623670517857
T10	-0.3093089243599266	1.2911492062311056
T11	-0.38216267941898996	1.3050006054715642
T12	-1.4478824631267655	-2.315652081122748
T13	-0.37591965945412015	0.8531500618372763
T19	-1.0786942212552186	0.9453822132754197
T20	-1.584274030066424	-0.9061596673685347
T21	-1.8810693988354865	-0.2480949668977651
T22	-1.298485760655072	0.9485366909864545
T23	-4.2229502854346475	1.276656376307111
T27	-0.0385043065040329	-0.08020709802172137
T28	0.06957937486806541	-0.11645092137642743
T29	-0.11085676146704586	-0.25891649718920723
T30	0.15172189725489035	0.13351309721217608
T31	-0.08836563272805197	-0.18994332765125532
