	X	Y
T0	-1.6720246483069103	0.03929307911555151
T1	1.3187302175893307	-1.248242428069797
T2	-1.6427599591094704	-0.021280430331149194
T3	-1.644877918717468	-0.017531593734687406
T4	1.7095656171798308	-2.144784910814372
T8	0.2388728884712613	-0.2491647604994997
T9	0.22701864004345113	-0.8576628601729468
T10	0.4326861518000138	-0.763087809984327
T11	0.1664035305537353	-0.6507698574595494
T12	-0.027607903135638587	-0.12136509010411697
T19	-0.1229665839246929	-0.8288066200288579
T20	-0.22530958160543274	-0.7584714011588175
T21	-1.563739054847608	-2.1778977754391837
T22	-0.243905319793009	-0.7632172286876846
T23	-0.05795925527887096	-0.9331024831409366
T29	-0.5086713231737438	-0.7466939468982631
T30	-0.6034497429472928	-0.7041425046439364
T31	0.14011530260121727	0.28837968662492924
T32	-0.607224145596373	-0.7720734618893332
T33	-0.6523575121014231	-0.7241518870953628
