	X	Y
T0	3.352235441489931	-1.1656808701932888
T1	3.4090975540092745	-1.3320887259930905
T2	4.616899795004748	-4.904168979733401
T3	3.3596009887090426	-1.3070858233289802
T4	3.558257210196838	-1.3929429438208571
T8	1.2783689916767196	-1.6680786176656441
T9	1.4724558989598227	-2.3847844377476908
T10	1.2661136371548558	-1.6548123413877012
T11	1.4767150756986185	-1.48471761050727
T12	1.5274169875803254	-2.1517049744263765
T19	0.5699542565488758	-1.9617296460772324
T20	0.4506549309765989	-2.0655714567108885
T21	0.7557815670304506	-2.4231069502199785
T22	0.7989740425820768	-2.394301928958943
T23	0.8611647160834883	-1.7748934246757282
T29	1.2707627449113685	-2.169769117462137
T30	1.486625512489209	-1.478064783381941
T31	2.225277530226853	-1.7184898884888433
T32	0.22891858267846016	-1.1842794650380186
T33	1.4437218010039272	-2.245650640458257
