	X	Y
T0	-4.336392633980506	-1.7944917945341068
T1	-3.2327135756777716	-1.3983492217963547
T2	-3.9829705366589914	-1.8427001653293222
T3	-3.7391200522349006	-2.5138228552477533
T4	-3.6499432237247307	-3.446410042866908
T8	-5.312835795455149	-2.1074035335125125
T9	-5.273551451393336	-2.0295164006267066
T10	-4.7381056826728285	-1.8183002392413772
T11	-5.293380047374766	-3.1990583713520238
T12	-4.6609527607317816	-1.6132035265519193
T19	-7.793438356690092	-3.2082182596355273
T20	-8.75629290285205	-3.1251312206426185
T21	-8.183271477440165	-3.594706373928754
T22	-8.619556249113877	-2.9064101084540472
T23	-8.612411360441582	-3.0733891727690725
T29	-2.6476147493391258	-1.5038605188016163
T30	-2.881589692349893	-1.3206500216795658
T31	-3.9427223658357153	-3.054371383398721
T32	-2.7017588730742834	-1.3801218232268455
T33	-3.8828828664675448	-3.1456782116940563
