	X	Y
T0	1.2294402274406775	2.2990534860053433
T1	0.49337769431871464	-0.528849711452963
T2	0.7092381756485893	-0.5043758226534677
T3	2.2328415696413817	1.816384458658513
T4	0.49616293665776295	-0.5902469443046167
T8	-0.7251373621128208	3.1525767876090587
T9	-0.6021974060963646	3.450365864364879
T10	-0.4259938638931463	3.4979826462761907
T11	-0.5473784479998337	3.411934645558997
T12	0.9530569567697604	0.8264871930184851
T18	-0.8032939355336691	1.8247895774425251
T19	-0.7914056698249169	1.8203498844199495
T20	-0.9369254574384942	1.8283773783068407
T21	0.36781133397736554	3.523422351191269
T22	0.13076268105813077	3.524466630587641
T29	1.2431236490601043	2.285293968814119
T30	-0.16612212790686742	2.7644786154964174
T31	-0.3045995166883931	2.795569793288663
T32	1.0457347444115277	1.7865037981941598
T33	0.9590227445726519	2.1957695687918575
