	X	Y
T0	-0.6410647333877603	1.5010940574453464
T1	-0.6499898733597644	1.9646274627656561
T2	-2.162469480338741	1.428633842442461
T3	-0.6380064057976818	1.5345372404981694
T4	-2.2751511327143423	1.2770881112476307
T8	-1.3226002259842289	1.569129710498132
T9	-1.3034593314699154	1.5997384085878186
T10	-1.6289388882071125	2.820532592846079
T11	-1.3172572863503211	1.5463102558021244
T12	-0.38284480813603	2.7375395526039443
T18	0.441533960753939	-0.35906111252397876
T19	0.590635530067045	-0.39199705987484024
T20	0.6974335338098719	-0.2024995040486481
T21	0.7157043739361724	-0.5302643572730465
T22	0.07656316196041618	-0.7374372045983361
T28	-0.1302453178409747	0.39688238295995804
T29	-0.2052838227974905	0.13992802690292988
T30	0.23758194306747854	-0.09661864079781315
T31	0.09058359266181636	-0.002329071056604487
T32	-0.34178256950295627	-0.017420330378428522
