
# before rand glnL: -28697.498064 alnL: -1239.407460
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003979
# true mu: 0.872658
# true rad: 44.393727
# true sigsq: 16.948583
# true neigh. size: 2.291847
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 1636.51 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -28697.498064 alnL: -1239.407460
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003979
# start mu: 0.872658
# start rad: 16.735241
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-51297.3	-1239.41	-4517.89	-1061.21	0.00400256	1	0.285288	7.01046	0.224433	0.0281528	19.8868	2.4857	174	99	114	-25130.9	42.628f	13.421	4	1	1	0	0	0	0	0	0	0	0	0.981818	0.873786	0.234783	0.405941	0.477064	0	0	0	1	0.259259	0.350877	1	1	1	1	1	1.5	5.0625	1.5	71.0993	92.1985	32.2587	19.027	42.628	13.421	
  2000	-53806.9	-1239.41	-7027.45	-1810.84	0.0117048	1	0.223241	8.95891	0.513574	0.0170486	19.8868	1.38817	341	99	135	-25130.9	57.7213f	22.1192	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.915094	0.184466	0.556604	0.575472	0	0	0	1	0.140187	0.333333	1	1	1	1	1	2.25	194.62	2.25	71.0993	92.1985	32.2587	19.027	57.7213	22.1192	
  3000	-56339.9	-1239.41	-9560.46	-2435.09	0.0172403	1	0.252879	7.90894	0.859814	0.0156719	19.9037	0.731987	493	99	180	-25130.9	23.3173f	57.8207	4	1	1	0	0	0	0	0	0	0	0	0.9	0.89726	0.292517	0.546296	0.693878	0	0	0	1	0.197279	0.342857	1	1	1	1	1	5.0625	25251.2	38.4434	71.0993	92.1985	32.2587	19.027	23.3173	57.8207	
  4000	-57542.7	-1239.41	-10763.3	-2755.84	0.0244952	1	0.272977	7.32662	1.31873	0.00732855	19.9037	0.442119	577	99	195	-25130.9	38.71f	35.0833	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.820513	0.262712	0.426087	0.590909	0	0	0	1	0.25	0.128866	1	1	1	1	1	25.6289	3.27625e+06	1477.89	71.0993	92.1985	32.2587	19.027	38.71	35.0833	
  5000	-58692.9	-1239.41	-11913.5	-3116.74	0.0274752	1	0.205639	9.72577	1.11428	0.0163765	19.9037	0.694576	675	99	180	-25130.9	50.9099f	21.683	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.901515	0.317829	0.580357	0.742424	0	0	0	1	0.208955	0.274725	1	1	1	1	1	57.665	3.22796e+09	85222.7	94.6956	59.0903	32.2587	19.027	50.9099	21.683	
  6000	-60801.4	-1239.41	-14022	-3598.28	0.0297345	1	0.20926	9.55749	1.22714	0.00547708	19.9037	0.619782	811	99	211	-25130.9	37.489f	60.2734	4	1	1	0.267327	0.237624	0.019802	0	0	0	0	0	0.909091	0.93865	0.240741	0.592593	0.717791	0	0	0	1	0.164634	0.153846	1.5	0.666667	1.5	1	1	194.62	4.77057e+12	191751	94.6956	59.0903	32.2587	19.027	37.489	60.2734	
  7000	-62551.7	-1239.41	-15772.3	-4028.97	0.0367241	1	0.187998	10.6384	1.36161	0.0462103	19.9037	0.62175	940	99	220	-25130.9	27.6093f	7.61447	4	1	1	0.267327	0.237624	0.019802	0	0	0	0	0	0.918182	0.931579	0.224044	0.490909	0.743316	0	0.118812	0	1	0.163158	0.153153	1.5	0.666667	1.5	1	1	656.841	1.39267e+15	1.45611e+06	94.6956	59.0903	32.2587	19.027	27.6093	7.61447	
  8000	-64185.4	-1239.41	-17406	-4389.14	0.0367241	1	0.191178	10.4614	1.38464	0.00124406	19.9037	0.601234	1049	99	248	-25130.9	46.1444f	44.3734	4	1	1	0.267327	0.237624	0.019802	0	0	0	0	0	0.909091	0.95283	0.339623	0.4375	0.792453	0	0.118812	0.0594059	1	0.179245	0.183406	1.5	0.666667	1.5	1	1	2216.84	1.37214e+18	1.88925e+08	94.6956	59.0903	32.2587	19.027	46.1444	44.3734	
  9000	-64904	-1239.41	-18124.6	-4520.33	0.0420846	1	0.221601	9.02521	1.83926	0.015954	19.9037	0.390485	1093	99	267	-25130.9	30.1291f	30.3239	4	1	1	0.267327	0.237624	0.019802	0	0	0	0	0	0.863636	0.954128	0.388889	0.586777	0.770642	0	0.118812	0.0594059	1	0.103774	0.367041	1.5	0.666667	1.5	1	1	11222.7	1e+20	2.79211e+11	85.3199	66.5563	32.2587	19.027	30.1291	30.3239	
 10000	-64787.9	-1239.41	-18008.5	-4520.33	0.0420846	1	0.202867	9.85866	1.68377	0.00100221	19.9037	0.465934	1093	99	256	-25130.9	50.7916f	44.1711	4	1	1	0.267327	0.237624	0.019802	0	0	0	0	0	0.881818	0.973214	0.306306	0.528846	0.8125	0	0.118812	0.0594059	1	0.209091	0.238281	1.5	0.666667	1.5	1	1	56815.1	1e+20	9.28447e+14	85.3199	66.5563	32.2587	19.027	50.7916	44.1711	
