
# before rand glnL: -83334.277988 alnL: -1340.348473
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.001337
# true mu: 0.663114
# true rad: 26.775679
# true sigsq: 0.572684
# true neigh. size: 3.016075
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 6768.43 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -83334.277988 alnL: -1340.348473
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.001337
# start mu: 0.663114
# start rad: 16.285245
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-53737.5	-1340.35	-6857.19	-1977.68	0.00400416	1	0.211104	9.47401	0.11282	0.0247398	18.0527	6.68248	304	99	126	-74790.2	8.33732f	13.405	4	1	1	0	0	0	0	0	0	0	0	0.990909	0.716981	0.289063	0.371429	0.721154	0	0	0	1	0.132075	0.152	1	1	1	1	1	1.5	11.3906	0.666667	15.1648	26.5456	52.7846	14.3267	8.33732	13.405	
  2000	-55852.6	-1340.35	-8972.29	-2725.35	0.00598167	1	0.179463	11.1444	0.195947	0.00336087	19.5224	4.52592	445	99	140	-74790.2	58.9296f	46.003	4	1	1	0	0	0	0	0	0	0	0	0.981818	0.909091	0.219697	0.533333	0.715385	0	0	0	1	0.107692	0.271429	1	1	1	1	1	3.375	985.261	5.0625	15.1648	26.5456	53.4118	39.5578	58.9296	46.003	
  3000	-56706.3	-1340.35	-9825.98	-2990.31	0.0071605	1	0.199912	10.0044	0.284413	0.0263655	19.9407	2.79919	497	99	153	-74790.2	88.3331f	4.34858	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.893204	0.344371	0.438095	0.745098	0	0	0	1	0.158416	0.161074	1	1	1	1	1	11.3906	37876.8	5.0625	15.1648	26.5456	53.4118	39.5578	88.3331	4.34858	
  4000	-57856.2	-1340.35	-10975.9	-3415.07	0.0071605	1	0.18065	11.0711	0.25701	0.00788692	19.9407	3.42794	583	99	147	-74790.2	26.4661f	39.7393	4	1	1	0	0	0	0	0	0	0	0	0.918182	0.949153	0.273504	0.504587	0.73913	0	0	0	1	0.12931	0.292517	1	1	1	1	1	25.6289	8.39666e+07	38.4434	15.1648	26.5456	53.4118	39.5578	26.4661	39.7393	
  5000	-59571.1	-1340.35	-12690.8	-3941.95	0.00939377	1	0.1924	10.395	0.359098	0.015301	19.9407	2.30357	694	99	162	-74790.2	79.0053f	84.2528	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.865248	0.257143	0.5	0.717391	0	0	0	1	0.164286	0.28125	1	1	1	1	1	86.4976	6.28224e+11	2216.84	15.1648	26.5456	53.4118	39.5578	79.0053	84.2528	
  6000	-61015.9	-1340.35	-14135.6	-4408.04	0.00946587	1	0.18087	11.0577	0.340168	0.00747788	19.9407	2.58678	794	99	166	-74790.2	58.654f	25.5354	4	1	1	0	0.227723	0.039604	0	0	0	0	0	0.954545	0.937107	0.238994	0.466667	0.811321	0	0	0	1	0.13125	0.150602	1	0.666667	0.666667	1	1	291.929	4.12643e+14	56815.1	8.33795	25.8884	53.4118	39.5578	58.654	25.5354	
  7000	-62869.3	-1340.35	-15989	-4922.42	0.0118952	1	0.166358	12.0222	0.393172	0.0128905	19.9407	2.43328	910	99	190	-74790.2	13.0562f	55.3833	4	1	1	0.178218	0.227723	0.039604	0	0	0	0	0	0.936364	0.933702	0.313187	0.603604	0.842697	0	0.168317	0.0990099	1	0.168478	0.325444	0.666667	0.666667	0.666667	1	1	985.261	1.80694e+17	3.27625e+06	8.33795	25.8884	53.4118	39.5578	13.0562	55.3833	
  8000	-63344.2	-1340.35	-16463.8	-5156.45	0.0120443	1	0.162361	12.3182	0.388537	0.0128905	19.9407	2.52293	963	99	169	-74790.2	13.0562f	55.3833	4	1	1	0.178218	0.227723	0.039604	0	0	0	0	0	0.936364	0.942708	0.233161	0.5	0.86631	0	0.168317	0.0990099	1	0.123711	0.248521	0.666667	0.666667	0.666667	1	1	2216.84	1.56296e+19	8.39666e+07	8.33795	25.8884	53.4118	39.5578	13.0562	55.3833	
  9000	-65888	-1340.35	-19007.7	-5850.92	0.01477	1	0.160914	12.429	0.472218	0.00575939	19.9407	2.09451	1126	99	198	-74790.2	65.948f	35.7331	4	1	1	0.178218	0.227723	0.039604	0	0	0	0	0	0.881818	0.912281	0.300885	0.565217	0.824561	0	0.168317	0.0990099	1	0.141593	0.10396	0.666667	0.666667	0.666667	1	1	4987.89	1e+20	5.51527e+10	8.33795	25.8884	53.4118	39.5578	65.948	35.7331	
 10000	-68447	-1340.35	-21566.6	-6590.93	0.0163577	1	0.158736	12.5996	0.515899	0.00330545	19.9407	1.94349	1305	99	214	-74790.2	58.6605f	46.4742	4	1	1	0.178218	0.227723	0.039604	0	0	0	0	0	0.872727	0.922481	0.207692	0.509259	0.84252	0	0.168317	0.0990099	1	0.0923077	0.158371	0.666667	0.666667	0.666667	1	1	16834.1	1e+20	2.75095e+14	8.33795	25.8884	53.4118	39.5578	58.6605	46.4742	
