
# before rand glnL: -44096.195779 alnL: -1330.603928
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.002631
# true mu: 0.028577
# true rad: 46.448424
# true sigsq: 0.439785
# true neigh. size: 69.986503
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 317981 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -44096.195779 alnL: -1330.603928
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.002631
# start mu: 0.028577
# start rad: 8.158987
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52792.9	-1330.6	-5922.28	-1551.09	0.00689607	1	0.149559	13.3726	0.197373	0.0243323	19.7545	5.39161	259	99	118	-38007.5	49.5014f	86.1204	4	1	1	0	0	0	0	0	0	0	0	1	0.80315	0.336	0.390909	0.617647	0	0	0	1	0.0686275	0.405405	1	1	1	1	1	2.25	5.0625	1.5	42.6021	88.7828	64.5959	71.0625	49.5014	86.1204	
  2000	-55108.4	-1330.6	-8237.8	-2291.04	0.0118314	1	0.138555	14.4348	0.316044	0.00560336	19.7911	3.63457	415	99	136	-38007.5	53.0331f	42.3891	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.872	0.295082	0.411215	0.664	0	0	0	1	0.097561	0.149254	1	1	1	1	1	5.0625	291.929	437.894	42.6021	88.7828	75.1031	64.6708	53.0331	42.3891	
  3000	-57282.9	-1330.6	-10412.3	-2959.77	0.0151029	1	0.140949	14.1895	0.417227	0.0133179	19.8728	2.70636	569	99	144	-38007.5	67.055f	67.2425	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.931034	0.215517	0.394495	0.715517	0	0	0	1	0.0869565	0.251701	1	1	1	1	1	11.3906	37876.8	16834.1	42.6021	88.7828	61.9643	72.4737	67.055	67.2425	
  4000	-59633.3	-1330.6	-12762.7	-3591.66	0.0193369	1	0.159691	12.5242	0.605226	0.0212619	19.8728	1.64673	724	99	170	-38007.5	82.4795f	63.78	4	1	1	0	0	0	0	0	0	0	0	0.872727	0.87234	0.326389	0.578431	0.794118	0	0	0	1	0.193103	0.163636	1	1	1	1	1	38.4434	1.10573e+07	970740	42.6021	88.7828	61.9643	72.4737	82.4795	63.78	
  5000	-62012.6	-1330.6	-15142	-4231.7	0.0212114	1	0.140218	14.2635	0.582939	0.0454665	19.8728	1.94712	889	99	191	-38007.5	71.7342f	99.4079	4	1	1	0	0	0	0	0	0	0	0	0.9	0.954286	0.265537	0.509259	0.793103	0	0	0	1	0.141243	0.172222	1	1	1	1	1	86.4976	1.43465e+09	1.2595e+08	42.6021	88.7828	61.9643	72.4737	71.7342	99.4079	
  6000	-64390.2	-1330.6	-17519.6	-4827.38	0.029312	1	0.166334	12.024	0.974696	0.0358158	19.9714	0.981683	1052	99	218	-38007.5	82.1225f	85.101	4	1	1	0	0	0.0594059	0	0	0	0	0	0.945455	0.847619	0.266667	0.518519	0.815534	0	0.0990099	0	1	0.0865385	0.307339	1	0.666667	1	1	1	291.929	2.4151e+13	4.84194e+09	42.6021	88.7828	92.2314	93.6657	82.1225	85.101	
  7000	-66919.3	-1330.6	-20048.7	-5452.3	0.0303598	1	0.177828	11.2468	1.01474	0.0321102	19.6658	0.881993	1230	99	240	-38007.5	95.8042f	56.0239	4	1	1	0	0	0.0594059	0	0	0	0	0	0.845455	0.934959	0.252033	0.522523	0.788618	0	0.0990099	0.118812	1	0.16129	0.282787	1	0.666667	1	1	1	985.261	7.91247e+19	5.51527e+10	86.2779	62.5368	92.2314	93.6657	95.8042	56.0239	
  8000	-66479.2	-1330.6	-19608.6	-5364.94	0.0303598	1	0.156339	12.7927	0.928679	0.0116804	19.8643	1.09619	1205	99	229	-38007.5	60.7194f	68.1448	4	1	1	0.237624	0.227723	0.0594059	0	0	0	0	0	0.872727	0.95082	0.303279	0.504505	0.823529	0	0.0990099	0.118812	1	0.165289	0.286996	1.5	0.666667	0.666667	1	1	3325.26	1e+20	1.4135e+12	66.9909	87.2396	92.2314	93.6657	60.7194	68.1448	
  9000	-65979.3	-1330.6	-19108.7	-5200.69	0.0303598	1	0.190409	10.5037	1.11237	0.0130253	19.7817	0.751423	1158	99	241	-38007.5	34.7445f	29.9231	4	1	1	0.237624	0.227723	0.0594059	0	0	0	0	0	0.845455	0.887931	0.25641	0.486726	0.752137	0	0.0990099	0.118812	1	0.215517	0.165217	1.5	0.666667	0.666667	1	1	25251.2	1e+20	5.43398e+13	87.8439	73.3076	54.3454	37.8138	34.7445	29.9231	
 10000	-67400.9	-1330.6	-20530.3	-5589.91	0.0338131	1	0.184525	10.8386	1.23906	0.0109104	19.9382	0.696099	1271	99	239	-38007.5	45.5815f	27.837	4	1	1	0.237624	0.227723	0.0594059	0	0	0	0	0	0.8	0.897638	0.265625	0.52	0.789063	0	0.0990099	0.118812	1	0.226563	0.435897	1.5	0.666667	0.666667	1	1	85222.7	1e+20	1.83397e+14	87.8439	73.3076	54.3454	37.8138	45.5815	27.837	
