
# before rand glnL: -45678.133861 alnL: -1202.776281
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.002423
# true mu: 0.725588
# true rad: 50.362491
# true sigsq: 14.210060
# true neigh. size: 2.756384
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 2432.29 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -45678.133861 alnL: -1202.776281
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.002423
# start mu: 0.725588
# start rad: 19.294075
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52753.5	-1202.78	-6010.74	-1634.4	0.00593038	1	0.235862	8.47952	0.257681	0.00683813	19.5674	2.61866	271	99	113	-41279.4	72.9924f	53.5837	4	1	1	0	0	0	0	0	0	0	0	1	0.776699	0.211382	0.472727	0.591667	0	0	0	1	0.130841	0.221239	1	1	1	1	1	2.25	7.59375	2.25	4.57375	81.2906	84.4962	51.2763	72.9924	53.5837	
  2000	-55556.9	-1202.78	-8814.17	-2457.27	0.0114667	1	0.221834	9.01576	0.468606	0.0267669	19.5674	1.53103	444	99	150	-41279.4	96.6747f	52.081	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.857143	0.257576	0.481818	0.646617	0	0	0	1	0.180451	0.178082	1	1	1	1	1	3.375	291.929	11.3906	4.57375	81.2906	84.4962	51.2763	96.6747	52.081	
  3000	-57426.9	-1202.78	-10684.1	-3055.56	0.0129711	1	0.252524	7.92005	0.603424	0.00186957	19.5674	1.04447	580	99	155	-41279.4	48.7076f	38.2881	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.912281	0.295652	0.610619	0.701754	0	0	0	1	0.210526	0.314815	1	1	1	1	1	17.0859	127834	656.841	4.57375	81.2906	84.4962	51.2763	48.7076	38.2881	
  4000	-60188.3	-1202.78	-13445.5	-3820.37	0.0179789	1	0.288344	6.93616	0.955029	0.00805469	19.5674	0.577953	766	99	182	-41279.4	75.261f	51.9363	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.903226	0.28	0.553398	0.732877	0	0	0	1	0.142857	0.25	1	1	1	1	1	38.4434	1.2595e+08	3325.26	4.57375	81.2906	84.4962	51.2763	75.261	51.9363	
  5000	-61420.1	-1202.78	-14677.3	-4158.73	0.0199258	1	0.247959	8.06583	0.928305	0.00292456	19.664	0.691431	852	99	191	-41279.4	64.1616f	45.4028	4	1	1	0	0	0	0	0	0	0	0	0.9	0.906977	0.271676	0.517241	0.77907	0	0	0	1	0.144509	0.253886	1	1	1	1	1	86.4976	5.51527e+10	25251.2	4.57375	81.2906	84.4962	51.2763	64.1616	45.4028	
  6000	-62980.7	-1202.78	-16237.9	-4570.77	0.0230759	1	0.223393	8.95282	0.959386	0.0119933	19.6173	0.742603	960	99	204	-41279.4	19.9429f	58.4937	4	1	1	0	0	0.029703	0	0	0	0	0	0.963636	0.931579	0.255319	0.538462	0.820106	0	0	0	1	0.206186	0.219388	1	0.666667	1	1	1	291.929	1.83397e+14	4.91437e+06	4.57375	81.2906	67.3179	20.3208	19.9429	58.4937	
  7000	-64175.8	-1202.78	-17433	-4851.07	0.0239347	1	0.249043	8.03073	1.14194	0.0347175	19.7598	0.559632	1035	99	222	-41279.4	1.24357f	27.9959	4	1	1	0.227723	0.207921	0.029703	0	0	0	0	0	0.918182	0.893204	0.31068	0.481481	0.721154	0	0.0891089	0.0891089	1	0.116505	0.262673	0.666667	0.666667	0.666667	1	1	656.841	1.04197e+19	6.37622e+08	4.57375	81.2906	69.7651	16.912	1.24357	27.9959	
  8000	-66059.5	-1202.78	-19316.7	-5353.89	0.0292929	1	0.246067	8.12786	1.38088	0.00970759	19.7598	0.468393	1174	99	230	-41279.4	67.8142f	28.3843	4	1	1	0.227723	0.207921	0.029703	0	0	0	0	0	0.918182	0.923729	0.299145	0.487603	0.827586	0	0.0891089	0.0891089	1	0.17094	0.278261	0.666667	0.666667	0.666667	1	1	3325.26	1e+20	4.77057e+12	8.18334	82.3823	69.1156	23.0878	67.8142	28.3843	
  9000	-68451.8	-1202.78	-21709	-5916.05	0.0319699	1	0.254697	7.85247	1.58079	0.00823371	19.8255	0.395295	1335	99	262	-41279.4	59.4967f	26.0272	4	1	1	0.227723	0.207921	0.029703	0	0	0	0	0	0.918182	0.903704	0.318182	0.496063	0.8	0	0.0891089	0.0891089	1	0.125	0.171315	0.666667	0.666667	0.666667	1	1	16834.1	1e+20	7.05039e+15	8.18334	82.3823	69.1156	23.0878	59.4967	26.0272	
 10000	-69222.2	-1202.78	-22479.4	-6174.65	0.0340018	1	0.22495	8.89085	1.48491	0.00869918	19.8255	0.476468	1411	99	241	-41279.4	52.6642f	23.5813	4	1	1	0.227723	0.207921	0.029703	0	0	0	0	0	0.863636	0.928571	0.309353	0.527778	0.742857	0	0.0891089	0.0891089	1	0.147887	0.112903	0.666667	0.666667	0.666667	1	1	85222.7	1e+20	5.27498e+19	8.18334	82.3823	69.1156	23.0878	52.6642	23.5813	
