
# before rand glnL: -50217.632526 alnL: -1333.068235
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.002253
# true mu: 0.028577
# true rad: 48.287059
# true sigsq: 0.439785
# true neigh. size: 69.986503
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 371398 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -50217.632526 alnL: -1333.068235
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.002253
# start mu: 0.028577
# start rad: 8.158987
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-53300.2	-1333.07	-6427.13	-1744.14	0.00675271	1	0.16304	12.2669	0.157367	0.0173781	18.3646	6.20315	289	99	123	-44392.3	46.5822f	83.4817	4	1	1	0	0	0	0	0	0	0	0	0.990909	0.831776	0.26087	0.435644	0.553571	0	0	0	1	0.206897	0.203252	1	1	1	1	1	1.5	7.59375	0.666667	70.6845	6.45732	65.0617	76.8776	46.5822	83.4817	
  2000	-54579.8	-1333.07	-7706.7	-2221.17	0.00658282	1	0.160147	12.4885	0.150685	0.0124976	18.3646	6.59524	384	99	123	-44392.3	46.3958f	76.2458	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.940171	0.165217	0.485437	0.707965	0	0	0	1	0.0990991	0.166667	1	1	1	1	1	3.375	437.894	0.197531	38.2149	4.5619	65.0617	76.8776	46.3958	76.2458	
  3000	-57058	-1333.07	-10184.9	-2924.05	0.0135051	1	0.16417	12.1825	0.322935	0.0237412	18.4513	3.002	540	99	156	-44392.3	74.4911f	83.346	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.881818	0.254545	0.432432	0.745098	0	0	0	1	0.163636	0.258278	1	1	1	1	1	5.0625	85222.7	0.0260123	38.2149	4.5619	65.0617	76.8776	74.4911	83.346	
  4000	-59008.6	-1333.07	-12135.6	-3480.43	0.0158193	1	0.149746	13.3559	0.418394	0.00707466	19.3623	2.54026	670	99	174	-44392.3	49.1094f	64.9965	4	1	1	0	0	0	0	0	0	0	0	0.936364	0.9	0.267176	0.46087	0.777778	0	0	0	1	0.120301	0.194969	1	1	1	1	1	11.3906	1.10573e+07	0.444444	65.7576	4.68583	65.0617	76.8776	49.1094	64.9965	
  5000	-61141.2	-1333.07	-14268.1	-4148.81	0.0188489	1	0.15741	12.7057	0.514698	0.011093	19.2755	1.96443	834	99	169	-44392.3	74.4943f	50.5884	4	1	1	0	0	0	0	0	0	0	0	0.872727	0.923077	0.25	0.495238	0.836257	0	0	0	1	0.153846	0.194118	1	1	1	1	1	25.6289	1.63415e+10	3.375	65.7576	4.68583	80.5055	85.927	74.4943	50.5884	
  6000	-62705.9	-1333.07	-15832.8	-4565.2	0.0199808	1	0.185559	10.7782	0.643177	0.0100695	19.2755	1.33354	940	99	187	-44392.3	70.235f	59.728	4	1	1	0	0.247525	0	0	0	0	0	0	0.881818	0.947368	0.257895	0.521368	0.78534	0	0.0990099	0	1	0.0684211	0.1875	1	1	1.5	1	1	129.746	5.43398e+13	57.665	65.7576	4.68583	80.5055	85.927	70.235	59.728	
  7000	-63157.8	-1333.07	-16284.8	-4690.74	0.0225917	1	0.17696	11.302	0.799174	0.0235303	19.9711	1.12539	973	99	186	-44392.3	72.6944f	84.304	4	1	1	0.257426	0.247525	0.049505	0	0	0	0	0	0.963636	0.895833	0.222798	0.491667	0.792746	0	0.0990099	0.0594059	1	0.0989583	0.190722	1.5	0.666667	1.5	1	1	437.894	8.03084e+16	656.841	65.7576	4.68583	70.8561	77.4956	72.6944	84.304	
  8000	-64190.3	-1333.07	-17317.3	-5020.48	0.0225917	1	0.163048	12.2663	0.736346	0.00941674	19.9711	1.32563	1060	99	178	-44392.3	52.496f	70.6667	4	1	1	0.257426	0.247525	0.049505	0	0	0	0	0	0.918182	0.971963	0.168224	0.559633	0.859813	0	0.0990099	0.0594059	1	0.121495	0.201117	1.5	0.666667	1.5	1	1	1477.89	1e+20	431440	65.7576	4.68583	70.8561	77.4956	52.496	70.6667	
  9000	-65148.6	-1333.07	-18275.6	-5178.75	0.0244668	1	0.199939	10.003	0.977896	0.047618	19.9711	0.814008	1103	99	216	-44392.3	86.9016f	99.7035	4	1	1	0.257426	0.247525	0.049505	0	0	0	0	0	0.927273	0.9375	0.321429	0.59292	0.761062	0	0.0990099	0.0594059	1	0.150442	0.200893	1.5	0.666667	1.5	1	1	4987.89	1e+20	4.84194e+09	65.7576	4.68583	70.8561	77.4956	86.9016	99.7035	
 10000	-65943.2	-1333.07	-19070.2	-5412.51	0.0244668	1	0.176169	11.3528	0.849553	0.0165675	19.9007	1.06341	1166	99	212	-44392.3	64.5323f	79.3267	4	1	1	0.257426	0.247525	0.049505	0	0	0	0	0	0.918182	0.923077	0.254237	0.486239	0.811966	0	0.0990099	0.0594059	1	0.153846	0.247664	1.5	0.666667	1.5	1	1	16834.1	1e+20	3.18038e+12	65.7576	4.68583	70.8561	77.4956	64.5323	79.3267	
