
# before rand glnL: -30513.796375 alnL: -1262.422842
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003794
# true mu: 0.725588
# true rad: 45.018879
# true sigsq: 14.210060
# true neigh. size: 2.756384
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 1552.98 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -30513.796375 alnL: -1262.422842
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003794
# start mu: 0.725588
# start rad: 19.294075
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52882.1	-1262.42	-6079.67	-1520.61	0.0103851	1	0.30084	6.64806	0.570533	0.00459351	19.5246	0.927266	273	99	129	-26356.2	45.8363f	64.5425	4	1	1	0	0	0	0	0	0	0	0	0.972727	0.740157	0.268519	0.428571	0.490909	0	0	0	1	0.238532	0.142857	1	1	1	1	1	2.25	7.59375	7.59375	96.8965	18.6608	75.9254	62.6213	45.8363	64.5425	
  2000	-56174.8	-1262.42	-9372.35	-2521.54	0.016157	1	0.22403	8.92737	0.660999	0.0189308	19.5246	1.07476	508	99	142	-26356.2	81.2288f	48.7646	4	1	1	0	0	0	0	0	0	0	0	0.963636	0.941748	0.213592	0.504673	0.666667	0	0	0	1	0.245098	0.273973	1	1	1	1	1	7.59375	1477.89	194.62	96.0794	17.8962	75.9254	62.6213	81.2288	48.7646	
  3000	-58744.6	-1262.42	-11942.2	-3254.74	0.0258555	1	0.211275	9.46634	1.05465	0.00132205	19.7981	0.714275	704	99	149	-26356.2	55.0236f	45.0491	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.914894	0.244604	0.571429	0.78169	0	0	0	1	0.15493	0.241611	1	1	1	1	1	11.3906	1.10573e+07	11222.7	96.0794	17.8962	75.9254	62.6213	55.0236	45.0491	
  4000	-60324	-1262.42	-13521.6	-3574.99	0.0296528	1	0.231825	8.62718	1.32719	0.0128186	19.7981	0.51728	794	99	191	-26356.2	67.3917f	68.9563	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.91195	0.25974	0.533981	0.75	0	0	0	1	0.158228	0.156425	1	1	1	1	1	38.4434	1.08944e+10	287627	96.0794	17.8962	75.9254	62.6213	67.3917	68.9563	
  5000	-60344.6	-1262.42	-13542.2	-3623.92	0.0301355	1	0.215905	9.26335	1.25616	0.00394371	19.7981	0.58683	808	99	174	-26356.2	53.0896f	36.7304	4	1	1	0	0	0	0	0	0	0	0	0.890909	0.91358	0.251534	0.504673	0.796296	0	0	0	1	0.141104	0.137931	1	1	1	1	1	86.4976	9.42336e+11	4.91437e+06	96.0794	17.8962	75.9254	62.6213	53.0896	36.7304	
  6000	-60478.5	-1262.42	-13676	-3669.08	0.0307029	1	0.215905	9.26335	1.27982	0.0120836	19.7981	0.575984	821	99	169	-26356.2	70.591f	64.0477	4	1	1	0.217822	0.217822	0	0	0	0	0	0	0.954545	0.931677	0.266667	0.475728	0.7625	0	0	0	1	0.168675	0.164706	0.666667	1	0.666667	1	1	291.929	2.75095e+14	2.15197e+09	96.0794	17.8962	75.9254	62.6213	70.591	64.0477	
  7000	-62602.9	-1262.42	-15800.4	-4133.4	0.0364286	1	0.191634	10.4366	1.32921	0.00735214	19.7295	0.62482	958	99	208	-26356.2	60.9775f	65.9	4	1	1	0.217822	0.217822	0.019802	0	0	0	0	0	0.890909	0.936842	0.264249	0.495727	0.78125	0	0.118812	0.0990099	1	0.145833	0.177885	0.666667	0.666667	0.666667	1	1	1477.89	1.20463e+17	3.18038e+12	96.0794	17.8962	75.9254	62.6213	60.9775	65.9	
  8000	-62560.8	-1262.42	-15758.3	-4166.52	0.0364286	1	0.216982	9.21735	1.50502	0.000866757	19.7295	0.487363	968	99	189	-26356.2	50.6268f	55.3687	4	1	1	0.217822	0.217822	0.019802	0	0	0	0	0	0.881818	0.914141	0.266667	0.477477	0.80303	0	0.118812	0.0990099	1	0.164103	0.276596	0.666667	0.666667	0.666667	1	1	4987.89	7.91247e+19	1.83397e+14	96.0794	17.8962	75.9254	62.6213	50.6268	55.3687	
  9000	-63619	-1262.42	-16816.6	-4410.49	0.0369941	1	0.242301	8.25418	1.70673	0.00251365	19.7295	0.384856	1042	99	203	-26356.2	40.5677f	45.0151	4	1	1	0.217822	0.217822	0.019802	0	0	0	0	0	0.945455	0.912621	0.221154	0.445545	0.796117	0	0.118812	0.0990099	1	0.105769	0.286432	0.666667	0.666667	0.666667	1	1	16834.1	1e+20	4.12643e+14	96.0794	17.8962	75.9254	62.6213	40.5677	45.0151	
 10000	-63876.3	-1262.42	-17073.9	-4524.6	0.0423578	1	0.214724	9.31428	1.73177	0.00251365	19.7295	0.428006	1078	99	183	-26356.2	40.5677f	45.0151	4	1	1	0.217822	0.217822	0.019802	0	0	0	0	0	0.945455	0.897196	0.233645	0.5	0.850467	0	0.118812	0.0990099	1	0.146789	0.290323	0.666667	0.666667	0.666667	1	1	37876.8	1e+20	9.28447e+14	96.0794	17.8962	75.9254	62.6213	40.5677	45.0151	
