
# before rand glnL: -38347.170008 alnL: -1341.612725
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003069
# true mu: 0.028577
# true rad: 44.693066
# true sigsq: 0.439785
# true neigh. size: 69.986503
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 272570 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -38347.170008 alnL: -1341.612725
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003069
# start mu: 0.028577
# start rad: 8.158987
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52690.1	-1341.61	-5808.46	-1497.74	0.0057385	1	0.119549	16.7295	0.136548	0.0644057	19.9495	9.74964	254	99	119	-32579.6	95.9371f	89.4349	4	1	1	0	0	0	0	0	0	0	0	0.963636	0.77193	0.247863	0.463636	0.407767	0	0	0	1	0.145631	0.186441	1	1	1	1	1	2.25	5.0625	1	31.7492	43.9047	90.2779	83.819	95.9371	89.4349	
  2000	-54054.3	-1341.61	-7172.67	-1948.41	0.00953894	1	0.144616	13.8297	0.27457	0.018601	19.9495	4.00822	352	99	123	-32579.6	76.398f	58.0626	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.910891	0.306931	0.413462	0.68932	0	0	0	1	0.0943396	0.221311	1	1	1	1	1	5.0625	129.746	3.375	18.1809	61.9456	90.2779	83.819	76.398	58.0626	
  3000	-56825	-1341.61	-9943.42	-2694.01	0.0148199	1	0.152045	13.154	0.448495	0.0385455	19.9495	2.33394	525	99	163	-32579.6	71.2825f	88.8918	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.930693	0.194175	0.491071	0.80198	0	0	0	1	0.127451	0.215686	1	1	1	1	1	11.3906	16834.1	7.59375	18.1809	61.9456	90.2779	83.819	71.2825	88.8918	
  4000	-57705.3	-1341.61	-10823.7	-2940.67	0.0182179	1	0.124594	16.0521	0.451788	0.0448146	19.9495	2.8274	586	99	169	-32579.6	93.4003f	73.4815	4	1	1	0	0	0	0	0	0	0	0	0.872727	0.86087	0.333333	0.485149	0.756522	0	0	0	1	0.254237	0.19883	1	1	1	1	1	25.6289	3.73185e+07	2216.84	18.1809	61.9456	90.2779	83.819	93.4003	73.4815	
  5000	-58036.6	-1341.61	-11155	-3076.31	0.0192568	1	0.131309	15.2312	0.503288	0.0613803	19.9495	2.40829	620	99	159	-32579.6	98.3623f	83.8759	4	1	1	0	0	0	0	0	0	0	0	0.9	0.893443	0.295082	0.609524	0.753968	0	0	0	1	0.180328	0.235294	1	1	1	1	1	57.665	2.45123e+10	431440	18.1809	61.9456	90.2779	83.819	98.3623	83.8759	
  6000	-59451.3	-1341.61	-12569.7	-3438.91	0.0194454	1	0.132492	15.0953	0.512794	0.0317902	19.9495	2.34254	712	99	178	-32579.6	71.5463f	82.8542	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.971631	0.258741	0.528302	0.771429	0	0	0	1	0.118056	0.234286	1	1	1	1	1	129.746	4.77057e+12	6.37622e+08	18.1809	61.9456	90.2779	83.819	71.5463	82.8542	
  7000	-61490	-1341.61	-14608.4	-3980.45	0.0245603	1	0.131912	15.1617	0.644844	0.0727643	19.9495	1.87104	858	99	191	-32579.6	96.0995f	95.4623	4	1	1	0	0.178218	0.019802	0	0	0	0	0	0.9	0.934524	0.30303	0.570175	0.823171	0	0.19802	0.118812	1	0.164634	0.248649	1	0.666667	0.666667	1	1	437.894	4.70026e+15	8.27291e+10	18.1809	61.9456	90.2779	83.819	96.0995	95.4623	
  8000	-62473.7	-1341.61	-15592.1	-4152.6	0.0290952	1	0.14177	14.1074	0.820998	0.0479912	19.9495	1.3674	906	99	225	-32579.6	99.4439f	65.0521	4	1	1	0.207921	0.178218	0.019802	0	0	0	0	0	0.881818	0.935484	0.322581	0.481132	0.840659	0	0.19802	0.118812	1	0.201087	0.207373	0.666667	0.666667	0.666667	1	1	1477.89	4.63099e+18	4.77057e+12	18.1809	61.9456	90.2779	83.819	99.4439	65.0521	
  9000	-65359.3	-1341.61	-18477.7	-4894.94	0.0349171	1	0.166418	12.018	1.09482	0.0527194	19.6777	0.873534	1120	99	240	-32579.6	94.751f	80.4527	4	1	1	0.207921	0.178218	0.019802	0	0	0	0	0	0.872727	0.920354	0.351351	0.512195	0.801802	0	0.19802	0.118812	1	0.135135	0.15	0.666667	0.666667	0.666667	1	1	3325.26	1e+20	8.03084e+16	18.1809	61.9456	90.2779	83.819	94.751	80.4527	
 10000	-66544.6	-1341.61	-19663	-5179.71	0.0351286	1	0.164716	12.1421	1.09019	0.0276863	19.6777	0.886306	1205	99	246	-32579.6	74.4983f	76.4079	4	1	1	0.207921	0.178218	0.019802	0	0	0	0	0	0.9	0.908333	0.291667	0.435644	0.777778	0	0.19802	0.118812	1	0.14876	0.206751	0.666667	0.666667	0.666667	1	1	11222.7	1e+20	2.34444e+19	16.6644	44.0129	90.2779	83.819	74.4983	76.4079	
