
# before rand glnL: -60016.368440 alnL: -1327.918058
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.001805
# true mu: 0.884485
# true rad: 16.131675
# true sigsq: 0.135842
# true neigh. size: 2.261203
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 3490.36 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -60016.368440 alnL: -1327.918058
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.001805
# start mu: 0.884485
# start rad: 16.901384
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-53659.7	-1327.92	-6791.76	-1902.17	0.00539859	1	0.192061	10.4134	0.175808	0.03623	19.1658	4.71349	307	99	126	-55409.6	9.42112f	6.39566	4	1	1	0	0	0	0	0	0	0	0	0.972727	0.769231	0.289474	0.311321	0.613861	0	0	0	1	0.145455	0.25	1	1	1	1	1	1.5	25.6289	1	9.41949	74.2538	20.0142	10.3316	9.42112	6.39566	
  2000	-55346.8	-1327.92	-8478.84	-2494.09	0.00617292	1	0.20336	9.83477	0.245793	0.0248081	19.8678	3.18409	423	99	136	-55409.6	23.7638f	9.55779	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.936508	0.259843	0.482143	0.719008	0	0	0	1	0.126984	0.150376	1	1	1	1	1	5.0625	1477.89	1.5	9.41949	74.2538	20.0142	10.3316	23.7638	9.55779	
  3000	-56085.2	-1327.92	-9217.27	-2742.88	0.00773897	1	0.160143	12.4888	0.247517	0.0333504	19.9664	4.0152	476	99	137	-55409.6	6.78338f	13.3222	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.895105	0.246479	0.528846	0.765517	0	0	0	1	0.0827586	0.29078	1	1	1	1	1	11.3906	25251.2	38.4434	9.41949	74.2538	20.0142	10.3316	6.78338	13.3222	
  4000	-57814.6	-1327.92	-10946.7	-3270.51	0.0102139	1	0.174696	11.4484	0.356359	0.0141363	19.9664	2.55652	590	99	153	-55409.6	26.5934f	25.8257	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.842105	0.359649	0.491071	0.747826	0	0	0	1	0.130435	0.263514	1	1	1	1	1	57.665	2.4879e+07	656.841	0.838666	33.4054	40.8665	10.5842	26.5934	25.8257	
  5000	-58353.6	-1327.92	-11485.7	-3454.88	0.0114886	1	0.190348	10.5071	0.436745	0.0222235	19.9664	1.91445	631	99	154	-55409.6	45.0452f	4.33045	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.960317	0.242188	0.613861	0.81746	0	0	0	1	0.148438	0.359477	1	1	1	1	1	194.62	7.26291e+09	985.261	8.18846	40.3649	62.3189	11.8275	45.0452	4.33045	
  6000	-60315.1	-1327.92	-13447.2	-4020.58	0.0130969	1	0.190348	10.5071	0.497883	0.0275883	19.9664	1.67937	760	99	172	-55409.6	70.5638f	1.36318	4	1	1	0	0	0.029703	0	0	0	0	0	0.936364	0.897959	0.231293	0.616822	0.733333	0	0	0	1	0.135135	0.3	1	0.666667	1	1	1	656.841	1.4135e+12	437.894	8.18846	40.3649	62.3189	11.8275	70.5638	1.36318	
  7000	-61203.9	-1327.92	-14336	-4346.46	0.0147948	1	0.160401	12.4687	0.467413	0.012196	19.8973	2.12281	837	99	157	-55409.6	81.3802f	40.5758	4	1	1	0.247525	0.247525	0.029703	0	0	0	0	0	0.909091	0.927711	0.22619	0.504673	0.805882	0	0.148515	0.0594059	1	0.114458	0.0875	1.5	0.666667	1.5	1	1	1477.89	4.70026e+15	656.841	8.18846	40.3649	62.3189	11.8275	81.3802	40.5758	
  8000	-62292.1	-1327.92	-15424.2	-4646.36	0.0172714	1	0.152437	13.1201	0.518562	0.0090113	19.8973	2.01339	909	99	166	-55409.6	73.5598f	38.0109	4	1	1	0.247525	0.247525	0.029703	0	0	0	0	0	0.881818	0.955307	0.172222	0.377358	0.777778	0	0.148515	0.0594059	1	0.104396	0.174419	1.5	0.666667	1.5	1	1	4987.89	6.94648e+18	985.261	34.3298	7.55023	62.3189	11.8275	73.5598	38.0109	
  9000	-64267.3	-1327.92	-17399.4	-5076.58	0.0172714	1	0.174897	11.4353	0.605039	0.0148894	19.981	1.50402	1015	99	220	-55409.6	24.4065f	26.4823	4	1	1	0.247525	0.247525	0.029703	0	0	0	0	0	0.990909	0.882353	0.356436	0.567308	0.805825	0	0.148515	0.0594059	1	0.106796	0.172727	1.5	0.666667	1.5	1	1	16834.1	1e+20	1477.89	34.3298	7.55023	19.6273	20.7281	24.4065	26.4823	
 10000	-63783.1	-1327.92	-16915.2	-4926.41	0.0172714	1	0.192826	10.3721	0.667063	0.036021	19.981	1.23734	978	99	219	-55409.6	15.5216f	1.41236	4	1	1	0.247525	0.247525	0.029703	0	0	0	0	0	0.918182	0.888325	0.270408	0.487395	0.808081	0	0.148515	0.0594059	1	0.142132	0.259434	1.5	0.666667	1.5	1	1	56815.1	1e+20	431440	34.3298	7.55023	19.6273	20.7281	15.5216	1.41236	
 11000	-65447.7	-1327.92	-18579.8	-5459.69	0.0191027	1	0.17306	11.5567	0.662164	0.030661	19.981	1.38886	1112	99	209	-55409.6	6.26173f	18.4633	4	1	1	0.247525	0.247525	0.029703	0	0	0	0	0	0.881818	0.918919	0.27027	0.592593	0.801802	0	0.148515	0.0594059	1	0.151786	0.172414	1.5	0.666667	1.5	1	1	56815.1	1e+20	431440	34.3298	7.55023	19.6273	20.7281	6.26173	18.4633	
 12000	-67520	-1327.92	-20652	-6042.71	0.0232189	1	0.17306	11.5567	0.804844	0.0287016	19.981	1.14265	1264	99	218	-55409.6	16.7841f	9.62634	4	1	1	0.247525	0.247525	0.029703	0.009901	0	0	0	0	0.881818	0.9375	0.251969	0.495327	0.826772	0	0.128713	0.0594059	1	0.141732	0.170616	1.5	0.666667	1.5	1	1	56815.1	1e+20	431440	34.3298	7.55023	19.6273	20.7281	16.7841	9.62634	
 13000	-68483.8	-1327.92	-21615.9	-6316.76	0.0246758	1	0.178828	11.1839	0.883856	0.00566858	19.981	1.00694	1337	99	220	-55409.6	53.5201f	33.9585	4	1	1	0.0693069	0.247525	0.029703	0.009901	0	0	0	0	0.872727	0.925373	0.223881	0.490196	0.88806	0	0.128713	0.0594059	1	0.103704	0.107477	1.5	0.666667	1.5	1	1	56815.1	1e+20	431440	34.3298	7.55023	19.6273	20.7281	53.5201	33.9585	
 14000	-68550.4	-1327.92	-21682.4	-6308.97	0.0241225	1	0.206757	9.67319	0.998982	0.0323714	19.981	0.770553	1335	99	230	-55409.6	8.56241f	12.6678	4	1	1	0.0693069	0.0891089	0.029703	0.009901	0	0	0	0	0.881818	0.91791	0.340741	0.556522	0.813433	9.90099e-09	0.128713	0.019802	1	0.141791	0.169492	1.5	0.666667	1.5	1	1	56815.1	1e+20	431440	34.3298	7.55023	19.6273	20.7281	8.56241	12.6678	
 15000	-70406.8	-1327.92	-23538.9	-6719.94	0.0274544	1	0.194806	10.2666	1.06256	0.0323714	19.9403	0.768889	1446	99	265	-55409.6	8.56241f	12.6678	4	1	1	0.0693069	0.0891089	0.029703	0.009901	0	0	0	0	0.881818	0.903448	0.291667	0.532787	0.854167	9.90099e-09	0.128713	0.019802	1	0.193103	0.166038	1.5	0.666667	1.5	1	1	56815.1	1e+20	431440	25.9329	45.7025	19.6273	20.7281	8.56241	12.6678	
