
# before rand glnL: -33210.958534 alnL: -1321.861954
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003642
# true mu: 0.028577
# true rad: 42.821313
# true sigsq: 0.439785
# true neigh. size: 69.986503
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 229698 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -33210.958534 alnL: -1321.861954
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003642
# start mu: 0.028577
# start rad: 8.158987
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52558.5	-1321.86	-5696.66	-1401.19	0.00880164	1	0.138958	14.3928	0.243237	0.0168727	19.9454	4.70875	245	99	125	-27455.2	67.3163f	60.4379	4	1	1	0	0	0	0	0	0	0	0	0.981818	0.796296	0.262295	0.524272	0.666667	0	0	0	1	0.153226	0.279661	1	1	1	1	1	1.5	5.0625	5.0625	52.7149	56.0841	65.0617	76.8776	67.3163	60.4379	
  2000	-54720.3	-1321.86	-7858.41	-2095.34	0.0126515	1	0.136632	14.6379	0.343775	0.0408485	19.9454	3.3884	400	99	132	-27455.2	89.952f	53.9901	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.892562	0.268293	0.495413	0.707317	0	0	0	1	0.130081	0.295455	1	1	1	1	1	3.375	437.894	25.6289	2.21001	52.082	65.0617	76.8776	89.952	53.9901	
  3000	-55497.7	-1321.86	-8635.84	-2313	0.0155991	1	0.14673	13.6305	0.455196	0.0185506	19.9454	2.38288	453	99	141	-27455.2	70.4882f	39.9851	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.854015	0.231884	0.456311	0.686131	0	0	0	1	0.182482	0.149254	1	1	1	1	1	7.59375	25251.2	17.0859	2.21001	52.082	67.88	65.0171	70.4882	39.9851	
  4000	-57518.7	-1321.86	-10656.8	-2845.68	0.0229413	1	0.154594	12.9371	0.705329	0.0139789	19.9454	1.4596	587	99	164	-27455.2	52.5416f	67.6625	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.864407	0.324786	0.546296	0.752137	0	0	0	1	0.144068	0.153846	1	1	1	1	1	17.0859	1.6586e+07	3325.26	2.21001	52.082	67.88	65.0171	52.5416	67.6625	
  5000	-59138.7	-1321.86	-12276.9	-3246.69	0.0245839	1	0.154594	12.9371	0.75583	0.0100814	19.9454	1.36208	694	99	186	-27455.2	59.7425f	50.5933	4	1	1	0	0	0	0	0	0	0	0	0.918182	0.906475	0.261194	0.552381	0.742857	0	0	0	1	0.15942	0.140449	1	1	1	1	1	57.665	3.67685e+10	431440	2.21001	52.082	67.88	65.0171	59.7425	50.5933	
  6000	-59529.4	-1321.86	-12667.6	-3396.15	0.0262771	1	0.14195	14.0895	0.74181	0.0448307	19.9454	1.51144	735	99	173	-27455.2	66.3093f	90.3728	4	1	1	0.19802	0	0.019802	0	0	0	0	0	0.890909	0.882759	0.256944	0.528846	0.805556	0	0.108911	0	1	0.0743243	0.364706	0.666667	0.666667	1	1	1	129.746	1.61007e+13	127834	2.21001	52.082	68.4049	99.1811	66.3093	90.3728	
  7000	-61460.9	-1321.86	-14599.1	-3834.23	0.0276317	1	0.150211	13.3146	0.82545	0.0421163	19.9454	1.28359	857	99	205	-27455.2	43.5614f	92.739	4	1	1	0.19802	0.178218	0.019802	0	0	0	0	0	0.863636	0.924419	0.195402	0.568627	0.724138	0	0.108911	0.049505	1	0.155172	0.257143	0.666667	0.666667	0.666667	1	1	437.894	7.05039e+15	3.27625e+06	2.21001	52.082	68.4049	99.1811	43.5614	92.739	
  8000	-61113.5	-1321.86	-14251.6	-3777.1	0.0275341	1	0.14361	13.9266	0.786389	0.0330735	19.9454	1.40928	841	99	194	-27455.2	60.1612f	84.5179	4	1	1	0.19802	0.178218	0.019802	0	0	0	0	0	0.936364	0.929412	0.285714	0.586538	0.813953	0	0.108911	0.049505	1	0.158824	0.168367	0.666667	0.666667	0.666667	1	1	985.261	3.08732e+18	6.37622e+08	2.21001	52.082	68.4049	99.1811	60.1612	84.5179	
  9000	-61161.7	-1321.86	-14299.8	-3855.98	0.030885	1	0.141083	14.176	0.866569	0.0507952	19.9454	1.30179	865	99	172	-27455.2	82.6753f	82.8487	4	1	1	0.19802	0.178218	0.019802	0	0	0	0	0	0.9	0.919075	0.208092	0.508621	0.820809	0	0.108911	0.049505	1	0.0924856	0.290698	0.666667	0.666667	0.666667	1	1	3325.26	1e+20	6.37622e+08	2.21001	52.082	68.4049	99.1811	82.6753	82.8487	
 10000	-62262	-1321.86	-15400.2	-4071.7	0.0329467	1	0.140832	14.2013	0.922768	0.0366571	19.9454	1.22469	928	99	198	-27455.2	41.3238f	88.8878	4	1	1	0.19802	0.178218	0.019802	0	0	0	0	0	0.845455	0.919355	0.221622	0.457627	0.794595	0	0.108911	0.049505	1	0.119565	0.150259	0.666667	0.666667	0.666667	1	1	11222.7	1e+20	5.51527e+10	2.21001	52.082	68.4049	99.1811	41.3238	88.8878	
