
# before rand glnL: -40015.228893 alnL: -1324.574975
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003223
# true mu: 0.663114
# true rad: 21.488968
# true sigsq: 0.572684
# true neigh. size: 3.016075
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 2807.94 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -40015.228893 alnL: -1324.574975
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003223
# start mu: 0.663114
# start rad: 16.285245
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-53260	-1324.57	-6395.44	-1621.76	0.00897906	1	0.217333	9.20249	0.2385	0.0239908	17.6596	3.07048	285	99	131	-31027.4	24.3724f	25.1312	4	1	1	0	0	0	0	0	0	0	0	0.918182	0.853211	0.28972	0.376238	0.517857	0	0	0	1	0.186916	0.284615	1	1	1	1	1	1.5	11.3906	0.444444	18.5401	5.84991	13.8581	27.3893	24.3724	25.1312	
  2000	-55543.9	-1324.57	-8679.37	-2289.23	0.0126158	1	0.151882	13.1681	0.384088	0.0454015	19.9848	2.72824	434	99	158	-31027.4	5.63138f	23.7287	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.892562	0.312	0.5	0.691667	0	0	0	1	0.219697	0.154839	1	1	1	1	1	3.375	194.62	7.59375	18.5401	5.84991	13.8581	27.3893	5.63138	23.7287	
  3000	-57803.9	-1324.57	-10939.3	-2947.69	0.0190278	1	0.144738	13.8181	0.552054	0.0402159	19.9848	1.99185	595	99	169	-31027.4	6.8294f	66.1715	4	1	1	0	0	0	0	0	0	0	0	0.890909	0.909091	0.223141	0.481132	0.719008	0	0	0	1	0.163934	0.115854	1	1	1	1	1	11.3906	287627	57.665	18.5401	5.84991	13.8581	27.3893	6.8294	66.1715	
  4000	-59868.2	-1324.57	-13003.6	-3497.65	0.0212936	1	0.139721	14.3142	0.586296	0.0181281	19.8998	1.94286	737	99	188	-31027.4	57.4593f	21.952	4	1	1	0	0	0	0	0	0	0	0	0.863636	0.959184	0.288591	0.483333	0.726027	0	0	0	1	0.141892	0.212121	1	1	1	1	1	25.6289	2.83387e+08	656.841	23.2553	24.649	48.6292	9.25452	57.4593	21.952	
  5000	-61799	-1324.57	-14934.4	-3972.35	0.0279032	1	0.162239	12.3275	0.892104	0.035111	19.8998	1.09964	868	99	213	-31027.4	75.1301f	14.5634	4	1	1	0	0	0	0	0	0	0	0	0.9	0.883721	0.302326	0.401869	0.823529	0	0	0	1	0.16092	0.206573	1	1	1	1	1	129.746	2.79211e+11	85222.7	23.2553	24.649	48.6292	9.25452	75.1301	14.5634	
  6000	-62723.9	-1324.57	-15859.3	-4227.57	0.0275143	1	0.153122	13.0615	0.830239	0.0137527	19.8998	1.25193	939	99	213	-31027.4	32.3284f	33.7204	4	1	1	0.188119	0.227723	0.009901	0	0	0	0	0	0.927273	0.910053	0.312169	0.482456	0.746032	0	0	0.108911	1	0.184211	0.35545	0.666667	0.666667	0.666667	1	1	291.929	1.83397e+14	647160	15.7006	71.4382	36.4821	15.6071	32.3284	33.7204	
  7000	-64040.7	-1324.57	-17176.1	-4475.36	0.0302303	1	0.163547	12.2289	0.974296	0.0227335	19.8998	0.998819	1011	99	251	-31027.4	30.6938f	21.2345	4	1	1	0.188119	0.227723	0.009901	0	0	0	0	0	0.872727	0.913265	0.283505	0.534483	0.737374	0	0.158416	0.108911	1	0.21393	0.326996	0.666667	0.666667	0.666667	1	1	985.261	5.35389e+16	5.59777e+07	15.7006	71.4382	36.4821	15.6071	30.6938	21.2345	
  8000	-65615.3	-1324.57	-18750.7	-4907.4	0.0352081	1	0.145937	13.7045	1.01254	0.0172733	19.8998	1.07706	1140	99	246	-31027.4	74.7492f	48.3362	4	1	1	0.188119	0.227723	0.009901	0	0	0	0	0	0.9	0.929204	0.307018	0.519231	0.798246	0	0.158416	0.108911	1	0.22807	0.191057	0.666667	0.666667	0.666667	1	1	3325.26	1e+20	2.79211e+11	7.67955	31.9859	77.0962	67.6292	74.7492	48.3362	
  9000	-65977.8	-1324.57	-19113.2	-4967.35	0.0353701	1	0.150637	13.277	1.04996	0.0337036	19.8998	1.00628	1158	99	258	-31027.4	49.9991f	88.7255	4	1	1	0.188119	0.227723	0.009901	0	0	0	0	0	0.763636	0.957265	0.230769	0.495238	0.880342	0	0.158416	0.108911	1	0.144068	0.254753	0.666667	0.666667	0.666667	1	1	16834.1	1e+20	2.08901e+15	7.67955	31.9859	77.0962	67.6292	49.9991	88.7255	
 10000	-66324.2	-1324.57	-19459.6	-5047.66	0.037931	1	0.16569	12.0707	1.00424	0.0144797	18.8836	0.956504	1183	99	264	-31027.4	30.5243f	60.7226	4	1	1	0.188119	0.227723	0.009901	0	0	0	0	0	0.818182	0.881356	0.211864	0.572581	0.775	0	0.158416	0.108911	1	0.109244	0.195122	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	19.673	8.20796	59.8771	62.2298	30.5243	60.7226	
 11000	-68328.7	-1324.57	-21464.1	-5516.07	0.0386938	1	0.168357	11.8795	1.04092	0.0104763	18.8836	0.908178	1327	99	278	-31027.4	35.9987f	37.8174	4	1	1	0.188119	0.227723	0.009901	0.039604	0	0	0	0	0.718182	0.954198	0.223077	0.460784	0.792308	0	0.158416	0.108911	1	0.160305	0.296992	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	19.673	8.20796	59.8771	62.2298	35.9987	37.8174	
 12000	-68426.5	-1324.57	-21561.9	-5494.51	0.0412876	1	0.1602	12.4844	1.22946	0.0264574	19.6113	0.808057	1322	99	295	-31027.4	53.768f	82.5073	4	1	1	0.188119	0.316832	0.009901	0.039604	0	0	0	0	0.854545	0.954887	0.358209	0.491803	0.759398	0	0.0990099	0.108911	1	0.105263	0.258278	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	19.673	8.20796	59.8771	62.2298	53.768	82.5073	
 13000	-69315	-1324.57	-22450.4	-5756.37	0.0456439	1	0.155974	12.8227	1.32333	0.00876856	19.6113	0.771085	1406	99	281	-31027.4	60.5779f	44.4128	4	1	1	0.207921	0.316832	0.009901	0.039604	0	0	0	0	0.836364	0.943662	0.265734	0.469565	0.755245	0.009901	0.0990099	9.90099e-09	1	0.161972	0.295139	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	19.673	8.20796	59.8771	62.2298	60.5779	44.4128	
 14000	-70793.2	-1324.57	-23928.7	-6126.01	0.0481705	1	0.138063	14.4861	1.23621	0.0444682	19.6113	0.932505	1527	99	275	-31027.4	20.4562f	87.1259	4	1	1	0.207921	0.316832	0.009901	0.039604	0	0	0	0	0.854545	0.947712	0.284768	0.558559	0.821192	0.009901	0.0990099	9.90099e-09	1	0.183007	0.281588	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	19.673	8.20796	59.8771	62.2298	20.4562	87.1259	
 15000	-70841.2	-1324.57	-23976.7	-6173.76	0.0498117	1	0.14746	13.563	1.44694	0.01063	19.8979	0.745926	1543	99	264	-31027.4	64.4738f	43.3312	4	1	1	0.207921	0.316832	0.009901	0.039604	0	0	0	0	0.845455	0.916667	0.212903	0.62037	0.807692	0.009901	0.0990099	9.90099e-09	1	0.148387	0.290698	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	19.673	8.20796	54.7109	58.4825	64.4738	43.3312	
 16000	-72392.8	-1324.57	-25528.3	-6495.82	0.0508804	1	0.143468	13.9404	1.43796	0.026307	19.8979	0.771467	1651	99	283	-31027.4	83.8049f	50.3312	4	1	1	0.207921	0.316832	0.009901	0.039604	0	0	0	0	0.809091	0.957576	0.236364	0.554622	0.818182	0.009901	0.0990099	9.90099e-09	1	0.181818	0.306859	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	56.3877	43.4403	83.8049	50.3312	
 17000	-72566.1	-1324.57	-25701.5	-6470.76	0.0533933	1	0.150998	13.2452	1.58818	0.0175997	19.8979	0.663665	1643	99	306	-31027.4	42.0387f	21.9724	4	1	1	0.207921	0.316832	0.009901	0.039604	0	0	0	0	0.818182	0.945122	0.278788	0.496183	0.829268	0.009901	0.0990099	9.90099e-09	1	0.164634	0.351266	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	56.3877	43.4403	42.0387	21.9724	
 18000	-74158.4	-1324.57	-27293.8	-6779.11	0.0553405	1	0.152919	13.0788	1.66704	0.0175997	19.8979	0.624329	1749	99	337	-31027.4	42.0387f	21.9724	4	1	1	0.207921	0.217822	0.009901	0.039604	0	0	0	0	0.854545	0.91954	0.257143	0.496	0.827586	0.009901	0.148515	9.90099e-09	1	0.2	0.337838	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	56.3877	43.4403	42.0387	21.9724	
 19000	-74404.8	-1324.57	-27540.2	-6833.54	0.0561698	1	0.154411	12.9524	1.70854	0.00985631	19.8979	0.603275	1768	99	335	-31027.4	36.4886f	39.2768	4	1	1	0.207921	0.217822	0.009901	0.039604	0	0	0	0	0.772727	0.932584	0.282486	0.565891	0.764045	0.009901	0.148515	0.009901	1	0.185393	0.328358	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	56.3877	43.4403	36.4886	39.2768	
 20000	-76288.4	-1324.57	-29423.9	-7188.15	0.0590633	1	0.172009	11.6273	2.00129	0.0168807	19.8979	0.462336	1893	99	371	-31027.4	68.9346f	63.1993	4	1	1	0.138614	0.217822	0.009901	0.039604	0	0	0	0	0.854545	0.952381	0.263158	0.445545	0.736842	0.009901	0.148515	0.009901	1	0.152632	0.311047	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	56.3877	43.4403	68.9346	63.1993	
 21000	-75223.2	-1324.57	-28358.7	-6987.37	0.0593863	1	0.162404	12.3149	1.89988	0.00836409	19.8979	0.515818	1822	99	354	-31027.4	52.8509f	37.1377	4	1	1	0.138614	0.217822	0.009901	0.039604	0	0	0	0	0.854545	0.923497	0.185792	0.555556	0.803279	0.009901	0.148515	0.009901	1	0.180328	0.325779	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	56.3877	43.4403	52.8509	37.1377	
 22000	-76529.2	-1324.57	-29664.7	-7301.42	0.0627014	1	0.156925	12.7449	1.93826	0.0296338	19.8979	0.523258	1934	99	350	-31027.4	72.0726f	17.5444	4	1	1	0.138614	0.217822	0.009901	0.039604	0	0	0	0	0.709091	0.927461	0.323077	0.509259	0.817708	0.009901	0.148515	0.009901	1	0.189744	0.30117	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	89.0085	24.7553	72.0726	17.5444	
 23000	-77746.3	-1324.57	-30881.7	-7665.82	0.0713947	1	0.120004	16.6661	1.62398	0.0296765	19.7073	0.816664	2065	99	311	-31027.4	77.2129f	22.3231	4	1	1	0.138614	0.217822	0.009901	9.90099e-09	0	0	0	0	0.809091	0.927184	0.216346	0.54902	0.870192	0.009901	0.138614	0.009901	1	0.15942	0.282132	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	89.0085	24.7553	77.2129	22.3231	
 24000	-79905.8	-1324.57	-33041.2	-8056.47	0.0711998	1	0.110316	18.1297	1.4888	0.0387739	19.7073	0.969042	2213	99	347	-31027.4	75.9871f	11.9205	4	1	1	0.138614	0.227723	0.009901	9.90099e-09	0	0	0	0	0.845455	0.959091	0.248869	0.528302	0.850679	0.009901	0.138614	0.009901	1	0.126126	0.348703	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	89.0085	24.7553	75.9871	11.9205	
 25000	-80273	-1324.57	-33408.4	-8098.82	0.0709742	1	0.144883	13.8042	1.64887	0.0523635	18.9001	0.666217	2229	99	366	-31027.4	77.9768f	2.82369	4	1	1	0.138614	0.227723	0.009901	9.90099e-09	0	0	0	0	0.809091	0.915556	0.253333	0.536364	0.822222	0.009901	0.138614	9.90099e-09	1	0.130045	0.284457	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	85.4024	3.28286	77.9768	2.82369	
 26000	-83183.4	-1324.57	-36318.8	-8733.21	0.076285	1	0.130731	15.2986	1.5794	0.0130779	18.8415	0.770811	2474	99	361	-31027.4	56.3118f	28.5632	4	1	1	0.138614	0.227723	0.039604	9.90099e-09	0	0	0	0	0.8	0.95122	0.210526	0.513514	0.847107	0.009901	0.138614	9.90099e-09	1	0.116935	0.320442	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	56.3118	28.5632	
 27000	-82631.4	-1324.57	-35766.8	-8703.27	0.0805922	1	0.12077	16.5604	1.52128	0.0340754	18.7796	0.866266	2463	99	330	-31027.4	78.2268f	18.3845	4	1	1	0.168317	0.227723	0.039604	9.90099e-09	0	0	0	0	0.809091	0.959514	0.217742	0.586538	0.866935	0.009901	0.138614	9.90099e-09	1	0.129032	0.304985	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	78.2268	18.3845	
 28000	-82214.6	-1324.57	-35350	-8442.49	0.0755322	1	0.152642	13.1025	2.21145	0.0335247	19.7658	0.471486	2361	99	396	-31027.4	60.4994f	8.19857	4	1	1	0.168317	0.227723	0.039604	9.90099e-09	0	0	0	0	0.818182	0.936441	0.228814	0.495652	0.813559	0.009901	0.138614	9.90099e-09	1	0.165254	0.307692	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	60.4994	8.19857	
 29000	-82803.4	-1324.57	-35938.9	-8690.73	0.0777654	1	0.128778	15.5307	1.87424	0.0177217	19.6448	0.659408	2458	99	344	-31027.4	64.2318f	25.9692	4	1	1	0.168317	0.227723	0.039604	9.90099e-09	0	0	0	0	0.836364	0.962963	0.205761	0.411765	0.876543	0.009901	0.138614	9.90099e-09	1	0.144033	0.335312	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	64.2318	25.9692	
 30000	-82461.2	-1324.57	-35596.6	-8575.85	0.0772786	1	0.133667	14.9625	1.64289	0.0208251	18.8616	0.724746	2413	99	371	-31027.4	39.4842f	19.0236	4	1	1	0.168317	0.217822	0.039604	9.90099e-09	0	0	0	0	0.772727	0.930041	0.256198	0.550459	0.834711	0.009901	0.0990099	9.90099e-09	1	0.119835	0.296399	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	39.4842	19.0236	
 31000	-82301.5	-1324.57	-35436.9	-8588.65	0.0772786	1	0.136383	14.6646	1.67627	0.00654014	18.8616	0.696169	2418	99	351	-31027.4	48.8695f	44.0629	4	1	1	0.168317	0.217822	0.039604	9.90099e-09	0	0	0	0	0.845455	0.942387	0.25	0.481481	0.82716	0.009901	0.0990099	9.90099e-09	1	0.116667	0.32493	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	48.8695	44.0629	
 32000	-84439	-1324.57	-37574.4	-8926.88	0.0821525	1	0.142084	14.0762	1.85648	0.0397656	18.8616	0.603371	2552	99	396	-31027.4	48.4471f	2.00218	4	1	1	0.0891089	0.217822	0.039604	9.90099e-09	0	0	0	0	0.8	0.941406	0.278884	0.540541	0.837302	0.009901	0.0990099	9.90099e-09	1	0.136187	0.317136	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	48.4471	2.00218	
 33000	-84609.4	-1324.57	-37744.9	-8964.36	0.0821525	1	0.147628	13.5475	1.81952	0.014535	18.5883	0.592508	2567	99	398	-31027.4	59.9529f	27.9954	4	1	1	0.0891089	0.217822	0.0693069	9.90099e-09	0	0	0	0	0.772727	0.938224	0.206226	0.508621	0.810078	0.009901	0.0990099	9.90099e-09	1	0.151751	0.336634	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	39.9043	9.60267	57.4755	25.1368	59.9529	27.9954	
 34000	-84752.8	-1324.57	-37888.2	-9061.74	0.0857088	1	0.125623	15.9207	1.65564	0.0303005	18.7032	0.765221	2606	99	366	-31027.4	64.3509f	12.2964	4	1	1	0.0891089	0.217822	0.0693069	9.90099e-09	0	0	0	0	0.836364	0.931034	0.260536	0.485981	0.857143	0.009901	0.0990099	9.90099e-09	1	0.111538	0.284457	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	64.3509	12.2964	
 35000	-85885.7	-1324.57	-39021.1	-9201.83	0.0852743	1	0.129844	15.4031	2.21249	0.00970641	19.9691	0.554009	2663	99	410	-31027.4	43.5731f	34.0465	4	1	1	0.0891089	0.217822	0.0693069	9.90099e-09	0	0	0	0	0.709091	0.950943	0.241509	0.54386	0.861423	0.009901	0.0990099	9.90099e-09	1	0.131086	0.317259	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	43.5731	34.0465	
 36000	-86886.3	-1324.57	-40021.7	-9456.95	0.0859822	1	0.13153	15.2056	2.0992	0.0194313	19.6043	0.576422	2767	99	386	-31027.4	72.4041f	31.6946	4	1	1	0.0891089	0.217822	0.0693069	9.90099e-09	0	0	0	0	0.827273	0.931655	0.197842	0.495798	0.827338	0.009901	0.0990099	9.90099e-09	1	0.111913	0.273196	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	72.4041	31.6946	
 37000	-85874.8	-1324.57	-39010.2	-9316.98	0.0862343	1	0.114518	17.4645	1.83304	0.00674804	19.6043	0.758184	2710	99	356	-31027.4	53.6254f	46.5627	4	1	1	0.0891089	0.217822	0.0693069	9.90099e-09	0	0	0	0	0.727273	0.955556	0.225926	0.517544	0.869403	0.009901	0.148515	9.90099e-09	1	0.12963	0.285714	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	53.6254	46.5627	
 38000	-86042.5	-1324.57	-39178	-9309.63	0.0862343	1	0.125831	15.8943	1.90461	0.0483607	19.3322	0.664088	2707	99	374	-31027.4	74.8469f	3.67083	4	1	1	0.0891089	0.217822	0.0693069	9.90099e-09	0	0	0	0	0.754545	0.952381	0.198529	0.528926	0.852399	0.009901	0.148515	9.90099e-09	1	0.166052	0.261333	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	74.8469	3.67083	
 39000	-85735.6	-1324.57	-38871.1	-9268.33	0.0852068	1	0.118903	16.8204	1.7783	0.014555	19.3322	0.752701	2690	99	366	-31027.4	52.1857f	25.2376	4	1	1	0.108911	0.217822	0.0891089	9.90099e-09	0	0	0	0	0.772727	0.955556	0.250923	0.584746	0.825926	0.009901	0.148515	9.90099e-09	1	0.144444	0.32987	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	52.1857	25.2376	
 40000	-85028.8	-1324.57	-38164.3	-9088.56	0.0852068	1	0.120419	16.6087	1.4964	0.0262917	18.4573	0.88324	2617	99	376	-31027.4	66.9664f	17.4608	4	1	1	0.108911	0.217822	0.0891089	9.90099e-09	0	0	0	0	0.827273	0.950943	0.25	0.589744	0.896552	0.009901	0.148515	9.90099e-09	1	0.141221	0.285714	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	66.9664	17.4608	
 41000	-85384.1	-1324.57	-38519.6	-9147.73	0.0844967	1	0.135847	14.7224	1.69105	0.0514038	18.5039	0.692808	2641	99	388	-31027.4	78.3031f	3.71312	4	1	1	0.108911	0.217822	0.0891089	9.90099e-09	0	0	0	0	0.790909	0.924812	0.238636	0.53719	0.871698	0.009901	0.148515	9.90099e-09	1	0.135849	0.301299	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	78.3031	3.71312	
 42000	-84784.4	-1324.57	-37919.8	-9011.58	0.0834209	1	0.135847	14.7224	1.66952	0.0539112	18.5039	0.701743	2586	99	392	-31027.4	11.6623f	7.8117	4	1	1	0.108911	0.287129	0.0891089	9.90099e-09	0	0	0	0	0.754545	0.938224	0.242308	0.508197	0.873563	9.90099e-09	0.148515	9.90099e-09	1	0.138462	0.310777	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	1.39267e+15	8.97826	27.9328	57.4755	25.1368	11.6623	7.8117	
