
# before rand glnL: -29218.633443 alnL: -1339.397662
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.004068
# true mu: 0.884485
# true rad: 13.165575
# true sigsq: 0.135842
# true neigh. size: 2.261203
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 1548.5 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -29218.633443 alnL: -1339.397662
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.004068
# start mu: 0.884485
# start rad: 16.901384
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52993.7	-1339.4	-6114.31	-1474.64	0.0105362	1	0.202615	9.87095	0.375547	0.0535787	19.343	2.09163	267	99	137	-24582.5	31.3332f	6.82322	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.692308	0.221239	0.482143	0.534483	0	0	0	1	0.165049	0.211679	1	1	1	1	1	1.5	11.3906	3.375	15.4125	50.9882	20.0142	10.3316	31.3332	6.82322	
  2000	-55972.2	-1339.4	-9092.84	-2381.53	0.0188172	1	0.15942	12.5455	0.527722	0.0420946	19.343	1.89179	483	99	148	-24582.5	22.0976f	21.5292	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.866197	0.278912	0.475248	0.666667	0	0	0	1	0.170068	0.234899	1	1	1	1	1	3.375	2216.84	38.4434	54.2818	28.7697	20.0142	10.3316	22.0976	21.5292	
  3000	-58382	-1339.4	-11502.6	-3022.58	0.0274528	1	0.142381	14.0468	0.687616	0.0945207	19.343	1.62563	653	99	164	-24582.5	3.84232f	5.36617	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.880952	0.19084	0.476636	0.75969	0	0	0	1	0.139344	0.222222	1	1	1	1	1	7.59375	7.37155e+06	11.3906	59.5898	9.40921	20.0142	10.3316	3.84232	5.36617	
  4000	-59484.2	-1339.4	-12604.8	-3279.66	0.0297927	1	0.174092	11.4882	0.91242	0.0368109	19.343	1.00195	725	99	184	-24582.5	20.7104f	28.6763	4	1	1	0	0	0	0	0	0	0	0	0.872727	0.918919	0.213793	0.391304	0.721088	0	0	0	1	0.175676	0.226519	1	1	1	1	1	11.3906	1.08944e+10	194.62	46.7382	76.5221	38.8215	33.9414	20.7104	28.6763	
  5000	-60216.8	-1339.4	-13337.4	-3465.36	0.0301731	1	0.168876	11.843	0.855904	0.0217801	19.1208	1.1011	778	99	193	-24582.5	33.536f	31.3638	4	1	1	0	0	0	0	0	0	0	0	0.836364	0.916129	0.254777	0.36036	0.74359	0	0	0	1	0.141935	0.184211	1	1	1	1	1	38.4434	1.07338e+13	11222.7	46.7382	76.5221	38.8215	33.9414	33.536	31.3638	
  6000	-61515.2	-1339.4	-14635.8	-3770.26	0.0355107	1	0.167533	11.9379	1.0442	0.0372537	19.3321	0.909781	868	99	209	-24582.5	74.5581f	19.1346	4	1	1	0	0	0	0	0	0	0	0	0.863636	0.91954	0.186047	0.495146	0.752874	0	0	0	1	0.155172	0.263158	1	1	1	1	1	194.62	3.13351e+15	191751	46.7382	76.5221	38.8215	33.9414	74.5581	19.1346	
  7000	-62702.6	-1339.4	-15823.2	-4060.98	0.0373013	1	0.167533	11.9379	1.12199	0.0553324	19.4419	0.846702	956	99	214	-24582.5	75.7129f	7.49657	4	1	1	0.19802	0.247525	0.049505	0	0	0	0	0	0.881818	0.890052	0.255208	0.536364	0.75	0	0.158416	0.0792079	1	0.166667	0.276699	0.666667	0.666667	1.5	1	1	437.894	6.94648e+18	8.39666e+07	51.1014	3.11554	38.8215	33.9414	75.7129	7.49657	
  8000	-63072.6	-1339.4	-16193.2	-4202.67	0.0392484	1	0.164172	12.1824	1.15687	0.0263806	19.4419	0.837988	1000	99	196	-24582.5	22.7054f	43.8267	4	1	1	0.19802	0.247525	0.049505	0	0	0	0	0	0.854545	0.930693	0.267327	0.54955	0.752475	0	0.158416	0.0792079	1	0.158416	0.322275	0.666667	0.666667	1.5	1	1	3325.26	1e+20	3.22796e+09	84.9209	93.9571	38.8215	33.9414	22.7054	43.8267	
  9000	-64607.2	-1339.4	-17727.8	-4511.28	0.0452611	1	0.157419	12.705	1.0264	0.0117206	18.4006	0.985028	1098	99	226	-24582.5	50.4187f	36.5888	4	1	1	0.19802	0.247525	0.049505	0	0	0	0	0	0.881818	0.900901	0.136364	0.433962	0.772727	0	0.158416	0.0792079	1	0.109091	0.163717	0.666667	0.666667	1.5	1	1	11222.7	1e+20	3.22796e+09	84.9209	93.9571	58.4782	59.9069	50.4187	36.5888	
 10000	-65612.3	-1339.4	-18732.9	-4753.99	0.0480583	1	0.154467	12.9477	1.47208	0.00958967	19.931	0.699928	1177	99	229	-24582.5	59.4112f	49.6949	4	1	1	0.19802	0.247525	0.049505	0	0	0	0	0	0.872727	0.865546	0.285714	0.534653	0.775862	9.90099e-09	0.158416	0.0792079	1	0.211864	0.278226	0.666667	0.666667	1.5	1	1	37876.8	1e+20	4.84194e+09	84.9209	93.9571	58.4782	59.9069	59.4112	49.6949	
 11000	-67705.2	-1339.4	-20825.8	-5204.24	0.0523422	1	0.13961	14.3256	1.44909	0.0286996	19.931	0.7867	1328	99	246	-24582.5	24.8518f	65.435	4	1	1	0.19802	0.247525	0.049505	0.0594059	0	0	0	0	0.854545	0.947368	0.270677	0.508197	0.827068	9.90099e-09	0.158416	0.0792079	1	0.0977444	0.157205	0.666667	0.666667	1.5	1	1	37876.8	1e+20	4.84194e+09	84.9209	93.9571	58.4782	59.9069	24.8518	65.435	
