
# before rand glnL: -70134.439732 alnL: -1235.946911
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.001667
# true mu: 0.109285
# true rad: 41.382314
# true sigsq: 0.671548
# true neigh. size: 18.300778
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 69954.8 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -70134.439732 alnL: -1235.946911
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.001667
# start mu: 0.109285
# start rad: 11.173703
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52432.8	-1235.95	-5656.87	-1577.77	0.00357617	1	0.155587	12.8545	0.0986614	0.00988314	19.3815	10.3681	242	99	111	-59972.5	34.5792f	19.2532	4	1	1	0	0	0	0	0	0	0	0	0.990909	0.81982	0.234234	0.403846	0.547009	0	0	0	1	0.141667	0.216216	1	1	1	1	1	2.25	5.0625	2.25	39.7511	30.0797	57.3601	4.76708	34.5792	19.2532	
  2000	-54751.1	-1235.95	-7975.2	-2383.93	0.00559855	1	0.178213	11.2225	0.167682	0.0103243	19.1234	5.32593	395	99	125	-59972.5	75.5976f	26.1657	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.932773	0.25	0.504854	0.69697	0	0	0	1	0.142857	0.322581	1	1	1	1	1	7.59375	437.894	2.25	14.42	24.409	57.3601	4.76708	75.5976	26.1657	
  3000	-56936.4	-1235.95	-10160.4	-3069.36	0.00908979	1	0.17774	11.2524	0.320504	0.0199939	19.9329	2.79384	537	99	143	-59972.5	39.0185f	2.24543	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.92381	0.27619	0.576923	0.773585	0	0	0	1	0.186916	0.192857	1	1	1	1	1	11.3906	85222.7	5.0625	14.42	24.409	57.3601	4.76708	39.0185	2.24543	
  4000	-58828	-1235.95	-12052	-3654.39	0.0113168	1	0.170442	11.7342	0.382644	0.0148282	19.9329	2.44033	664	99	153	-59972.5	56.5283f	8.37979	4	1	1	0	0	0	0	0	0	0	0	0.918182	0.893939	0.348485	0.504348	0.84375	0	0	0	1	0.164179	0.276316	1	1	1	1	1	17.0859	8.39666e+07	38.4434	14.42	24.409	57.3601	4.76708	56.5283	8.37979	
  5000	-60532.1	-1235.95	-13756.1	-4178.12	0.0120436	1	0.168218	11.8894	0.401903	0.0194941	19.9329	2.35411	782	99	164	-59972.5	41.1622f	2.43498	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.96129	0.25	0.559633	0.789809	0	0	0	1	0.0769231	0.130719	1	1	1	1	1	38.4434	3.67685e+10	437.894	14.42	24.409	57.3601	4.76708	41.1622	2.43498	
  6000	-61810	-1235.95	-15034.1	-4505.14	0.0120436	1	0.200634	9.9684	0.479352	0.00886184	19.9329	1.65486	856	99	190	-59972.5	51.8593f	17.5417	4	1	1	0	0.217822	0	0	0	0	0	0	0.927273	0.952663	0.218935	0.564356	0.741176	0	0.118812	0.108911	1	0.122093	0.263158	1	1	0.666667	1	1	86.4976	7.15586e+12	437.894	14.42	24.409	57.3601	4.76708	51.8593	17.5417	
  7000	-63570.6	-1235.95	-16794.7	-5048.9	0.0162482	1	0.188387	10.6164	0.60723	0.0142437	19.9329	1.39128	989	99	187	-59972.5	75.4966f	17.6501	4	1	1	0.19802	0.217822	0.039604	0	0	0	0	0	0.918182	0.923858	0.25	0.561404	0.813131	0	0.118812	0.108911	1	0.110553	0.166667	0.666667	0.666667	0.666667	1	1	291.929	7.05039e+15	11222.7	14.42	24.409	57.3601	4.76708	75.4966	17.6501	
  8000	-65329.3	-1235.95	-18553.3	-5608.22	0.0176551	1	0.16709	11.9696	0.585216	0.0249277	19.9329	1.62762	1127	99	180	-59972.5	85.0129f	8.12709	4	1	1	0.19802	0.217822	0.039604	0	0	0	0	0	0.9	0.954955	0.279279	0.576271	0.81982	0	0.118812	0.108911	1	0.117117	0.263736	0.666667	0.666667	0.666667	1	1	656.841	1e+20	4.91437e+06	14.42	24.409	57.3601	4.76708	85.0129	8.12709	
  9000	-68532.3	-1235.95	-21756.3	-6448.02	0.0209332	1	0.162148	12.3344	0.658507	0.0267544	19.8221	1.49055	1343	99	207	-59972.5	84.3903f	5.08969	4	1	1	0.19802	0.217822	0.039604	0	0	0	0	0	0.927273	0.97037	0.333333	0.638889	0.858268	0	0.118812	0.108911	1	0.103704	0.292079	0.666667	0.666667	0.666667	1	1	1477.89	1e+20	1.43465e+09	14.42	24.409	57.3601	4.76708	84.3903	5.08969	
 10000	-70669.6	-1235.95	-23893.6	-6963.48	0.0237747	1	0.177013	11.2986	0.816455	0.0103619	19.8221	1.10124	1481	99	242	-59972.5	50.5693f	14.8158	4	1	1	0.19802	0.217822	0.039604	0	0	0	0	0	0.936364	0.972789	0.22973	0.475	0.871622	0	0.118812	0.108911	1	0.168919	0.280992	0.666667	0.666667	0.666667	1	1	4987.89	1e+20	5.51527e+10	14.42	24.409	57.3601	4.76708	50.5693	14.8158	
