
# before rand glnL: -36721.435175 alnL: -1233.304865
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003121
# true mu: 0.148732
# true rad: 65.486063
# true sigsq: 10.728501
# true neigh. size: 13.447000
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 16877.2 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -36721.435175 alnL: -1233.304865
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003121
# start mu: 0.148732
# start rad: 14.252547
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52340.8	-1233.3	-5567.52	-1429.9	0.00703584	1	0.263462	7.59122	0.310392	0.0652587	19.1059	1.94622	243	99	117	-32038.4	1.8037f	7.17508	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.836207	0.201754	0.414414	0.586207	0	0	0	1	0.201681	0.179487	1	1	1	1	1	2.25	11.3906	1.5	25.9584	95.3457	28.2539	13.0266	1.8037	7.17508	
  2000	-53964.9	-1233.3	-7191.6	-1931.3	0.0103894	1	0.216829	9.22384	0.450173	0.0197703	19.9694	1.63051	350	99	134	-32038.4	29.7773f	21.1072	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.84466	0.259615	0.533981	0.676471	0	0	0	1	0.152381	0.0769231	1	1	1	1	1	3.375	2216.84	7.59375	19.6402	66.7557	28.2539	13.0266	29.7773	21.1072	
  3000	-55811.8	-1233.3	-9038.51	-2484.23	0.0155122	1	0.222533	8.98741	0.689822	0.017728	19.9694	1.03678	477	99	143	-32038.4	30.9876f	22.5834	4	1	1	0	0	0	0	0	0	0	0	0.972727	0.899281	0.246479	0.514286	0.669065	0	0	0	1	0.222222	0.181818	1	1	1	1	1	7.59375	85222.7	437.894	19.6402	66.7557	28.2539	13.0266	30.9876	22.5834	
  4000	-57658.8	-1233.3	-10885.5	-2954.94	0.0189135	1	0.254975	7.8439	0.963693	0.0196885	19.9694	0.647715	592	99	174	-32038.4	31.7371f	19.9231	4	1	1	0	0	0	0	0	0	0	0	0.972727	0.869919	0.297521	0.564356	0.68595	0	0	0	1	0.14876	0.188571	1	1	1	1	1	17.0859	2.4879e+07	37876.8	19.6402	66.7557	48.4428	44.2824	31.7371	19.9231	
  5000	-59440.4	-1233.3	-12667.1	-3364.07	0.0198184	1	0.261208	7.65673	1.03449	0.00191092	19.9694	0.588991	696	99	210	-32038.4	58.403f	55.9072	4	1	1	0.257426	0	0	0	0	0	0	0	0.9	0.927536	0.246377	0.529412	0.630435	0	0	0	1	0.188406	0.208738	1.5	1	1	1	1	57.665	4.84194e+09	1.45611e+06	19.6402	66.7557	48.4428	44.2824	58.403	55.9072	
  6000	-59956.6	-1233.3	-13183.3	-3528.08	0.0199519	1	0.223618	8.94381	0.891582	0.00438131	19.9694	0.798274	738	99	208	-32038.4	36.4055f	58.9852	4	1	1	0.257426	0	0	0	0	0	0	0	0.918182	0.919463	0.324138	0.546218	0.722222	0	0	0	1	0.194631	0.170103	1.5	1	1	1	1	291.929	7.15586e+12	1.2595e+08	3.19993	64.0461	48.4428	44.2824	36.4055	58.9852	
  7000	-62434.4	-1233.3	-15661.1	-4191.05	0.0272998	1	0.230478	8.67763	1.19519	0.0275003	19.7179	0.577769	921	99	221	-32038.4	14.327f	28.3477	4	1	1	0.257426	0.267327	0.029703	0	0	0	0	0	0.9	0.941176	0.251337	0.5	0.738636	0	0.0693069	0	1	0.166667	0.167421	1.5	0.666667	1.5	1	1	1477.89	4.70026e+15	6.37622e+08	3.19993	64.0461	20.816	34.6301	14.327	28.3477	
  8000	-64273.7	-1233.3	-17500.4	-4589.23	0.0305678	1	0.257364	7.77111	1.49438	0.000388383	19.7179	0.413821	1035	99	251	-32038.4	49.2497f	52.6704	4	1	1	0.257426	0.267327	0.029703	0	0	0	0	0	0.909091	0.913462	0.211538	0.491667	0.769231	0	0.0693069	0.0594059	1	0.173077	0.2607	1.5	0.666667	1.5	1	1	3325.26	2.34444e+19	1.63415e+10	3.19993	64.0461	49.6202	16.538	49.2497	52.6704	
  9000	-63510.8	-1233.3	-16737.5	-4474.13	0.0305678	1	0.206933	9.66497	1.20155	0.0193229	19.7179	0.640099	1002	99	217	-32038.4	25.435f	25.2462	4	1	1	0.257426	0.267327	0.029703	0	0	0	0	0	0.945455	0.940594	0.178218	0.581967	0.68932	0	0.0693069	0.0594059	1	0.186275	0.179372	1.5	0.666667	1.5	1	1	11222.7	1e+20	2.79211e+11	3.19993	64.0461	49.6202	16.538	25.435	25.2462	
 10000	-65813	-1233.3	-19039.7	-4963.43	0.0368368	1	0.239733	8.34262	1.67749	0.00729894	19.7179	0.395761	1146	99	266	-32038.4	36.7842f	33.4984	4	1	1	0.257426	0.267327	0.029703	0	0	0	0	0	0.918182	0.886957	0.295652	0.578431	0.780702	0	0.0693069	0.0594059	1	0.243478	0.101563	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	4.43153	38.3319	49.6202	16.538	36.7842	33.4984	
 11000	-66288.8	-1233.3	-19515.5	-5106.15	0.0357674	1	0.238102	8.39977	1.55987	0.00673627	19.5392	0.428519	1189	99	260	-32038.4	51.1841f	29.8011	4	1	1	0.108911	0.267327	0.029703	0	0	0	0	0	0.881818	0.95	0.226891	0.504854	0.733333	0	0.0693069	0.0594059	1	0.235294	0.286219	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	4.43153	38.3319	49.6202	16.538	51.1841	29.8011	
 12000	-66255.2	-1233.3	-19481.9	-5062.58	0.0361972	1	0.238102	8.39977	1.67919	0.0488562	19.8433	0.398069	1176	99	274	-32038.4	16.2099f	5.69383	4	1	1	0.108911	0.267327	0.029703	0.029703	0	0	0	0	0.936364	0.907563	0.305085	0.47619	0.745763	9.90099e-09	0.0693069	0.0594059	1	0.216667	0.233716	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	4.43153	38.3319	49.6202	16.538	16.2099	5.69383	
 13000	-66881.4	-1233.3	-20108.1	-5291.57	0.0361972	1	0.197058	10.1493	1.38973	0.0039582	19.8433	0.581161	1245	99	248	-32038.4	50.0906f	34.7518	4	1	1	0.108911	0.267327	0.039604	0.029703	0	0	0	0	0.936364	0.902439	0.274194	0.53271	0.766129	9.90099e-09	0.128713	0.0594059	1	0.177419	0.25	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	4.43153	38.3319	49.6202	16.538	50.0906	34.7518	
 14000	-65811.7	-1233.3	-19038.4	-5036.03	0.0361972	1	0.20008	9.996	1.41104	0.0461826	19.8433	0.563737	1168	99	238	-32038.4	76.5166f	2.81125	4	1	1	0.108911	0.108911	0.039604	0.029703	0	0	0	0	0.936364	0.913793	0.220339	0.6	0.836207	9.90099e-09	0.128713	0.009901	1	0.144068	0.252101	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	4.43153	38.3319	49.6202	16.538	76.5166	2.81125	
 15000	-66364.6	-1233.3	-19591.3	-5142.23	0.0361972	1	0.212991	9.39006	1.36228	0.0277803	19.3644	0.548521	1200	99	256	-32038.4	72.0375f	14.3936	4	1	1	0.108911	0.108911	0.039604	0.029703	0	0	0	0	0.945455	0.932773	0.20339	0.54717	0.789916	9.90099e-09	0.128713	0.009901	1	0.221311	0.255814	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	4.43153	38.3319	49.6202	16.538	72.0375	14.3936	
 16000	-67545.8	-1233.3	-20772.5	-5498.04	0.0404213	1	0.187779	10.6508	1.37591	0.02622	19.4886	0.616003	1310	99	238	-32038.4	58.3252f	10.2011	4	1	1	0.108911	0.108911	0.039604	0.029703	0	0	0	0	0.9	0.969466	0.183206	0.425743	0.825758	9.90099e-09	0.128713	0.009901	1	0.151515	0.277056	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	12.1149	8.96935	49.6202	16.538	58.3252	10.2011	
 17000	-69280.5	-1233.3	-22507.2	-5888.73	0.0443573	1	0.179212	11.16	1.58248	0.024338	19.9503	0.561197	1434	99	257	-32038.4	53.8668f	11.037	4	1	1	0.039604	0.108911	0.039604	0.029703	0	0	0	0	0.963636	0.916667	0.201389	0.537037	0.79562	9.90099e-09	0.128713	0.009901	1	0.131387	0.284047	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	12.1149	8.96935	49.6202	16.538	53.8668	11.037	
 18000	-70481.9	-1233.3	-23708.6	-6058.52	0.0461685	1	0.225867	8.85477	2.02956	0.00163557	19.838	0.347189	1489	99	301	-32038.4	50.8457f	40.8212	4	1	1	0.039604	0.108911	0.039604	0.029703	0	0	0	0	0.9	0.946309	0.268456	0.516393	0.765101	9.90099e-09	0.128713	0.009901	1	0.201342	0.239482	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	12.1149	8.96935	49.6202	16.538	50.8457	40.8212	
 19000	-71425.9	-1233.3	-24652.6	-6246.12	0.0461685	1	0.217825	9.18168	1.9573	0.0163542	19.838	0.373297	1550	99	322	-32038.4	56.4651f	18.6756	4	1	1	0.039604	0.108911	0.029703	0.029703	0	0	0	0	0.918182	0.916667	0.214286	0.532258	0.727273	9.90099e-09	0.128713	0.009901	1	0.116883	0.305648	1.5	0.666667	1.5	1	1	85222.7	1e+20	3.18038e+12	17.8917	28.9806	49.6202	16.538	56.4651	18.6756	
