
# before rand glnL: -62993.362774 alnL: -1339.002709
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.001676
# true mu: 0.902638
# true rad: 85.294825
# true sigsq: 100.617391
# true neigh. size: 2.215727
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 2696.47 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -62993.362774 alnL: -1339.002709
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.001676
# start mu: 0.902638
# start rad: 19.752685
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-53180.2	-1339	-6301.21	-1696.99	0.00390823	1	0.229335	8.72086	0.146364	0.0137938	18.9864	4.74148	264	99	135	-59668	20.5508f	71.3485	4	1	1	0	0	0	0	0	0	0	0	0.972727	0.8	0.245902	0.421569	0.434783	0	0	0	1	0.152	0.251852	1	1	1	1	1	2.25	5.0625	1.5	23.1646	5.28167	9.47051	93.0809	20.5508	71.3485	
  2000	-55069.2	-1339	-8190.24	-2376.34	0.00566724	1	0.193334	10.3448	0.215634	0.0290517	19.8933	3.81763	394	99	143	-59668	6.51168f	86.4924	4	1	1	0	0	0	0	0	0	0	0	0.9	0.919643	0.279279	0.50495	0.732143	0	0	0	1	0.175	0.347518	1	1	1	1	1	5.0625	656.841	1.5	23.1646	5.28167	9.47051	93.0809	6.51168	86.4924	
  3000	-55599.1	-1339	-8720.13	-2577.23	0.00791374	1	0.157082	12.7322	0.247142	0.0104306	19.9438	4.09966	435	99	141	-59668	28.8534f	71.2029	4	1	1	0	0	0	0	0	0	0	0	0.963636	0.892086	0.238806	0.495652	0.742647	0	0	0	1	0.137681	0.303448	1	1	1	1	1	11.3906	37876.8	7.59375	23.1646	5.28167	46.2584	92.4539	28.8534	71.2029	
  4000	-57356.7	-1339	-10477.6	-3143.41	0.00791374	1	0.165787	12.0637	0.260838	0.0239809	19.9438	3.68044	552	99	154	-59668	19.2435f	90.5491	4	1	1	0	0	0	0	0	0	0	0	0.972727	0.936937	0.201835	0.542857	0.7	0	0	0	1	0.190909	0.201299	1	1	1	1	1	17.0859	1.6586e+07	656.841	23.1646	5.28167	38.2778	69.1061	19.2435	90.5491	
  5000	-59165.6	-1339	-12286.6	-3704.81	0.0111449	1	0.171509	11.6612	0.380019	0.0239809	19.9438	2.4419	676	99	160	-59668	19.2435f	90.5491	4	1	1	0	0	0	0	0	0	0	0	0.918182	0.882353	0.255474	0.529412	0.823529	0	0	0	1	0.154412	0.157895	1	1	1	1	1	86.4976	3.67685e+10	3325.26	23.1646	5.28167	38.2778	69.1061	19.2435	90.5491	
  6000	-60348.4	-1339	-13469.4	-4076.3	0.0124189	1	0.169138	11.8246	0.417605	0.00959264	19.9438	2.25327	760	99	165	-59668	39.6653f	75.875	4	1	1	0	0.267327	0.019802	0	0	0	0	0	0.918182	0.947368	0.164474	0.481132	0.785714	0	0.148515	0	1	0.131579	0.1875	1	0.666667	1.5	1	1	194.62	2.4151e+13	127834	23.1646	5.28167	38.2778	69.1061	39.6653	75.875	
  7000	-64429.5	-1339	-17550.5	-5271.94	0.0172265	1	0.172999	11.5608	0.56235	0.00782532	19.6852	1.63595	1045	99	186	-59668	33.0457f	66.5675	4	1	1	0.168317	0.267327	0.019802	0	0	0	0	0	0.918182	0.933333	0.247619	0.567568	0.809524	0	0.148515	0.039604	1	0.104762	0.256684	0.666667	0.666667	1.5	1	1	437.894	3.08732e+18	8.39666e+07	23.1646	5.28167	38.2778	69.1061	33.0457	66.5675	
  8000	-65277.9	-1339	-18398.9	-5549.92	0.0168994	1	0.162082	12.3394	0.516859	0.00441989	19.6852	1.89982	1113	99	185	-59668	40.542f	49.1521	4	1	1	0.168317	0.267327	0.019802	0	0	0	0	0	0.927273	0.938596	0.292035	0.512605	0.815789	0	0.148515	0.039604	1	0.0877193	0.281081	0.666667	0.666667	1.5	1	1	985.261	1e+20	4.84194e+09	23.1646	5.28167	44.4711	69.9218	40.542	49.1521	
  9000	-67672.5	-1339	-20793.5	-6180.9	0.0200716	1	0.152897	13.0807	0.526134	0.00892322	19.2188	1.97845	1275	99	203	-59668	35.4537f	72.0889	4	1	1	0.168317	0.267327	0.019802	0	0	0	0	0	0.909091	0.960938	0.23622	0.552381	0.804688	0	0.148515	0.039604	1	0.110236	0.309645	0.666667	0.666667	1.5	1	1	7481.83	1e+20	1.61007e+13	60.1049	11.3361	44.4711	69.9218	35.4537	72.0889	
 10000	-67328.5	-1339	-20449.5	-6070.64	0.0205513	1	0.152897	13.0807	0.538707	0.00386523	19.2188	1.93227	1247	99	208	-59668	49.524f	52.1405	4	1	1	0.168317	0.267327	0.019802	0	0	0	0	0	0.936364	0.919355	0.153226	0.533333	0.846774	0	0.148515	0.039604	1	0.184	0.181347	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	60.1049	11.3361	46.8246	77.073	49.524	52.1405	
 11000	-68401.8	-1339	-21522.8	-6309.12	0.0214319	1	0.158594	12.6108	0.634175	0.00477587	19.6296	1.58242	1309	99	232	-59668	56.9588f	44.9722	4	1	1	0.168317	0.267327	0.019802	0.039604	0	0	0	0	0.881818	0.906977	0.274809	0.461538	0.806202	0	0.148515	0.039604	1	0.167939	0.299145	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	50.3268	12.0846	46.8246	77.073	56.9588	44.9722	
 12000	-69555.2	-1339	-22676.2	-6661.28	0.0228594	1	0.146423	13.659	0.637902	0.00464049	19.7341	1.70395	1402	99	226	-59668	49.7939f	60.8686	4	1	1	0.168317	0.267327	0.019802	0.039604	0	0	0	0	0.872727	0.908451	0.265734	0.530973	0.818182	0	0.148515	0.039604	1	0.104895	0.278761	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	50.3268	12.0846	46.8246	77.073	49.7939	60.8686	
 13000	-72814.5	-1339	-25935.5	-7502.11	0.0269562	1	0.146423	13.659	0.752224	0.0133885	19.7341	1.44498	1631	99	254	-59668	42.8892f	84.505	4	1	1	0.148515	0.138614	0.0693069	0.039604	0	0	0	0	0.918182	0.926829	0.286585	0.435644	0.829268	0	0.128713	0.039604	1	0.207317	0.257937	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	77.3053	28.2309	46.8246	77.073	42.8892	84.505	
 14000	-73832.4	-1339	-26953.4	-7780.9	0.0285114	1	0.143874	13.901	0.781774	0.0107603	19.7341	1.415	1709	99	254	-59668	57.2304f	78.6037	4	1	1	0.148515	0.138614	0.0693069	0.039604	0	0	0	0	0.936364	0.946746	0.245614	0.519608	0.871345	0	0.128713	0.019802	1	0.128655	0.314286	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	77.3053	28.2309	46.8246	77.073	57.2304	78.6037	
 15000	-74853.7	-1339	-27974.7	-8044.15	0.0285114	1	0.136295	14.6741	0.740588	0.00556817	19.7341	1.57675	1783	99	261	-59668	54.7825f	64.1171	4	1	1	0.148515	0.138614	0.0693069	0.039604	0	0	0	0	0.827273	0.94382	0.242938	0.519231	0.842697	0.019802	0.128713	0.019802	1	0.146067	0.255061	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	77.3053	28.2309	46.8246	77.073	54.7825	64.1171	
 16000	-76314.7	-1339	-29435.7	-8380.2	0.0312597	1	0.148158	13.4991	0.899768	0.0110182	19.8291	1.19389	1880	99	279	-59668	47f	80.4478	4	1	1	0.148515	0.138614	0.0693069	0.039604	0	0	0	0	0.818182	0.957895	0.236842	0.518182	0.847368	0.019802	0.128713	0.019802	1	0.152632	0.284173	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	52.2115	10.5234	46.8246	77.073	47	80.4478	
 17000	-77237.8	-1339	-30358.8	-8584.66	0.0312597	1	0.148259	13.4899	0.90038	0.0100893	19.8291	1.19227	1939	99	297	-59668	59.9497f	76.0176	4	1	1	0.148515	0.138614	0.0693069	0.039604	0	0	0	0	0.836364	0.953608	0.226804	0.560345	0.793814	0.019802	0.128713	0.019802	1	0.134021	0.313131	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	52.2115	10.5234	46.8246	77.073	59.9497	76.0176	
 18000	-77602.2	-1339	-30723.2	-8685.86	0.0327129	1	0.164458	12.1611	1.04519	0.0224177	19.8291	0.925911	1969	99	290	-59668	30.4505f	7.77391	4	1	1	0.148515	0.138614	0.0693069	0.039604	0	0	0	0	0.927273	0.923858	0.299492	0.5	0.81	0.019802	0.128713	0.019802	1	0.121827	0.298305	0.666667	0.666667	1.5	1	1	16834.1	1e+20	2.08901e+15	52.2115	10.5234	46.8246	77.073	30.4505	7.77391	
