
# before rand glnL: -45578.883667 alnL: -1214.946166
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.002410
# true mu: 0.725588
# true rad: 50.426455
# true sigsq: 14.210060
# true neigh. size: 2.756384
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 2444.67 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -45578.883667 alnL: -1214.946166
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.002410
# start mu: 0.725588
# start rad: 19.294075
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-53197.2	-1214.95	-6442.27	-1746.22	0.00627219	1	0.215529	9.27948	0.263479	0.0151391	19.8451	2.80265	293	99	123	-41489.5	69.1158f	79.716	4	1	1	0	0	0	0	0	0	0	0	1	0.784483	0.297297	0.482143	0.604839	0	0	0	1	0.224138	0.0894309	1	1	1	1	1	2.25	25.6289	0.444444	2.29363	35.4566	72.4659	70.189	69.1158	79.716	
  2000	-56012.3	-1214.95	-9257.4	-2597.59	0.00939144	1	0.20551	9.73189	0.376171	0.00436537	19.8451	2.05874	473	99	152	-41489.5	36.5099f	63.1715	4	1	1	0	0	0	0	0	0	0	0	0.936364	0.94964	0.21831	0.45098	0.780142	0	0	0	1	0.163121	0.144737	1	1	1	1	1	5.0625	985.261	1.5	71.757	29.1031	47.1719	82.0596	36.5099	63.1715	
  3000	-57908.1	-1214.95	-11153.2	-3158.75	0.0147584	1	0.235652	8.4871	0.677842	0.0140642	19.8451	0.996371	604	99	167	-41489.5	49.4345f	84.1599	4	1	1	0	0	0	0	0	0	0	0	0.927273	0.915966	0.214876	0.485714	0.743802	0	0	0	1	0.155738	0.155689	1	1	1	1	1	11.3906	85222.7	25.6289	5.78487	77.3922	47.1719	82.0596	49.4345	84.1599	
  4000	-59605.3	-1214.95	-12850.4	-3611.9	0.0161037	1	0.234814	8.51739	0.737	0.00960439	19.8451	0.919663	713	99	190	-41489.5	24.1171f	61.0813	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.920863	0.316547	0.486726	0.70073	0	0	0	1	0.214286	0.191489	1	1	1	1	1	25.6289	5.59777e+07	2216.84	5.78487	77.3922	47.1719	82.0596	24.1171	61.0813	
  5000	-62306.6	-1214.95	-15551.7	-4342.28	0.0232019	1	0.245593	8.14356	1.1106	0.0247241	19.8451	0.583506	898	99	214	-41489.5	9.75558f	70.9019	4	1	1	0	0	0	0	0	0	0	0	0.936364	0.927374	0.27933	0.469027	0.702247	0	0	0	1	0.222222	0.370892	1	1	1	1	1	129.746	5.51527e+10	431440	5.78487	77.3922	47.1719	82.0596	9.75558	70.9019	
  6000	-64402.4	-1214.95	-17647.5	-4858.92	0.0250564	1	0.196818	10.1617	0.961179	0.0141944	19.8451	0.8413	1036	99	242	-41489.5	59.8722f	82.8155	4	1	1	0.19802	0	0	0	0	0	0	0	0.972727	0.932039	0.264706	0.487603	0.683168	0	0.118812	0.0792079	1	0.245098	0.247826	0.666667	1	1	1	1	437.894	3.62265e+13	4.25081e+08	5.78487	77.3922	47.1719	82.0596	59.8722	82.8155	
  7000	-66089.7	-1214.95	-19334.8	-5368.01	0.0269153	1	0.196818	10.1617	1.03248	0.0141944	19.8451	0.783198	1176	99	228	-41489.5	59.8722f	82.8155	4	1	1	0.19802	0	0	0	0	0	0	0	0.890909	0.974359	0.224138	0.512605	0.724138	0	0.118812	0.0792079	1	0.152542	0.267544	0.666667	1	1	1	1	3325.26	1e+20	1.8614e+11	5.78487	77.3922	47.1719	82.0596	59.8722	82.8155	
  8000	-68760.2	-1214.95	-22005.3	-6015.27	0.0326628	1	0.195909	10.2088	1.15273	0.00071259	19.4582	0.704757	1362	99	256	-41489.5	54.2229f	55.0252	4	1	1	0.19802	0.158416	0.009901	0	0	0	0	0	0.909091	0.933824	0.264706	0.512195	0.818182	0	0.118812	0.0792079	1	0.19697	0.261719	0.666667	0.666667	0.666667	1	1	7481.83	1e+20	9.42336e+11	30.2714	85.4956	47.1719	82.0596	54.2229	55.0252	
  9000	-69715.7	-1214.95	-22960.7	-6195.7	0.0333086	1	0.201251	9.93784	1.32664	0.0200563	19.9211	0.596114	1415	99	282	-41489.5	61.1281f	89.2404	4	1	1	0.19802	0.158416	0.009901	0	0	0	0	0	0.936364	0.937063	0.295775	0.446281	0.741259	0	0.118812	0.0792079	1	0.190141	0.29703	0.666667	0.666667	0.666667	1	1	25251.2	1e+20	2.71041e+17	30.2714	85.4956	47.1719	82.0596	61.1281	89.2404	
 10000	-72324.4	-1214.95	-25569.4	-6756.53	0.0381087	1	0.222814	8.97609	1.69109	0.00284524	19.9525	0.422387	1584	99	325	-41489.5	64.6263f	49.472	4	1	1	0.19802	0.158416	0.009901	0	0	0	0	0	0.909091	0.942308	0.265823	0.528	0.830065	0	0.118812	0.0792079	1	0.202532	0.138158	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	3.32923	59.4581	47.1719	82.0596	64.6263	49.472	
 11000	-72989.9	-1214.95	-26235	-6955.24	0.0385261	1	0.204725	9.76918	1.57082	0.014478	19.9525	0.494905	1645	99	317	-41489.5	40.9868f	83.5027	4	1	1	0.19802	0.158416	0.009901	0	0	0	0	0	0.918182	0.945455	0.266667	0.515385	0.829268	0	0.158416	9.90099e-09	1	0.139394	0.314642	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	3.32923	59.4581	47.1719	82.0596	40.9868	83.5027	
 12000	-72845.4	-1214.95	-26090.5	-6948.72	0.0385261	1	0.234024	8.54612	1.79563	0.0163405	19.9525	0.378741	1643	99	306	-41489.5	51.2912f	86.8138	4	1	1	0.19802	0.158416	0.009901	0	0	0	0	0	0.872727	0.93865	0.280488	0.539683	0.795181	0	0.158416	9.90099e-09	1	0.147239	0.277419	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	47.1719	82.0596	51.2912	86.8138	
 13000	-73287.6	-1214.95	-26532.7	-7084.01	0.0418932	1	0.211621	9.45086	1.76564	0.0173122	19.9525	0.425951	1685	99	298	-41489.5	13.9628f	61.6998	4	1	1	0.168317	0.158416	0.029703	0	0	0	0	0	0.945455	0.95858	0.333333	0.453125	0.781065	0	0.158416	9.90099e-09	1	0.141176	0.28	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	19.9514	75.5302	13.9628	61.6998	
 14000	-76310.8	-1214.95	-29555.9	-7750.49	0.0443072	1	0.193214	10.3512	1.70495	0.013468	19.9525	0.483136	1897	99	336	-41489.5	38.0165f	81.2405	4	1	1	0.168317	0.257426	0.029703	0.009901	0	0	0	0	0.963636	0.924731	0.263441	0.554688	0.827957	9.90099e-09	0.158416	9.90099e-09	1	0.204301	0.26183	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	19.9514	75.5302	38.0165	81.2405	
 15000	-76982	-1214.95	-30227.1	-7828.4	0.0443072	1	0.187493	10.6671	1.65447	0.000363026	19.9525	0.513069	1922	99	365	-41489.5	46.2739f	50.2929	4	1	1	0.168317	0.257426	0.029703	0.009901	0	0	0	0	0.936364	0.958115	0.234375	0.473684	0.858639	9.90099e-09	0.158416	9.90099e-09	1	0.203125	0.315642	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	24.5636	95.354	46.2739	50.2929	
 16000	-77568.7	-1214.95	-30813.7	-8061.69	0.0476163	1	0.191515	10.4431	1.81618	0.00762084	19.9525	0.457572	1999	99	330	-41489.5	44.8337f	74.5418	4	1	1	0.168317	0.257426	0.029703	0.009901	0	0	0	0	0.936364	0.979899	0.325	0.52381	0.809045	9.90099e-09	0.158416	9.90099e-09	1	0.125	0.3125	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	24.5636	95.354	44.8337	74.5418	
 17000	-78554.5	-1214.95	-31799.5	-8227.72	0.0489976	1	0.225113	8.88442	2.19672	0.0196571	19.9525	0.321843	2054	99	364	-41489.5	17.6313f	74.2432	4	1	1	0.168317	0.257426	0.029703	0.009901	0	0	0	0	0.945455	0.936585	0.247573	0.446429	0.818627	9.90099e-09	0.158416	9.90099e-09	1	0.174757	0.276712	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	17.6313	74.2432	
 18000	-80721.1	-1214.95	-33966.2	-8652.56	0.0527879	1	0.201323	9.9343	2.11655	0.000670637	19.9525	0.373508	2197	99	402	-41489.5	53.3576f	45.1474	4	1	1	0.168317	0.257426	0.029703	0.009901	0	0	0	0	0.890909	0.950226	0.311628	0.641026	0.841629	9.90099e-09	0.0693069	9.90099e-09	1	0.186364	0.280105	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	53.3576	45.1474	
 19000	-81486.3	-1214.95	-34731.4	-8918.52	0.0562349	1	0.196162	10.1957	2.19696	0.0240089	19.9525	0.369304	2288	99	369	-41489.5	33.9539f	91.7528	4	1	1	0.128713	0.257426	0.029703	0.009901	0	0	0	0	0.945455	0.934498	0.213043	0.547826	0.847826	9.90099e-09	0.0693069	9.90099e-09	1	0.144105	0.281481	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	33.9539	91.7528	
 20000	-86215.9	-1214.95	-39460.9	-9835.47	0.0641301	1	0.204407	9.78439	2.61071	0.0290611	19.9525	0.29824	2612	99	439	-41489.5	4.08821f	67.5623	4	1	1	0.128713	0.257426	9.90099e-09	0.009901	0	0	0	0	0.936364	0.942748	0.274809	0.450382	0.79771	9.90099e-09	0.0693069	9.90099e-09	1	0.179389	0.258929	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	4.08821	67.5623	
 21000	-85998.2	-1214.95	-39243.3	-9923.37	0.0641301	1	0.199799	10.01	2.41171	0.0198626	19.6727	0.330294	2644	99	385	-41489.5	22.1154f	79.604	4	1	1	0.128713	0.19802	9.90099e-09	0.009901	0	0	0	0	0.963636	0.936803	0.254682	0.516393	0.864662	9.90099e-09	0.0693069	9.90099e-09	1	0.145522	0.293367	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	22.1154	79.604	
 22000	-88823.6	-1214.95	-42068.6	-10486.9	0.0664594	1	0.209485	9.54722	2.48711	0.0390203	19.4175	0.305473	2851	99	421	-41489.5	7.06237f	87.5287	4	1	1	0.128713	0.19802	9.90099e-09	0.009901	0	0	0	0	0.890909	0.950877	0.223776	0.52381	0.833922	9.90099e-09	0.0693069	9.90099e-09	1	0.15035	0.301624	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	7.06237	87.5287	
 23000	-88629.8	-1214.95	-41874.8	-10400.1	0.0664594	1	0.209484	9.54726	2.4871	0.0410108	19.4175	0.305476	2819	99	432	-41489.5	16.4328f	97.8854	4	1	1	0.128713	0.19802	9.90099e-09	0.009901	0	0	0	0	0.909091	0.960854	0.215827	0.44697	0.797872	9.90099e-09	0.0693069	9.90099e-09	1	0.148936	0.298611	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	16.4328	97.8854	
 24000	-88926.7	-1214.95	-42171.7	-10438	0.0665045	1	0.212394	9.41646	2.52336	0.031916	19.4175	0.296961	2833	99	449	-41489.5	6.68914f	77.9631	4	1	1	0.128713	0.19802	9.90099e-09	0.009901	0	0	0	0	0.918182	0.935252	0.215548	0.5	0.792254	9.90099e-09	0.0792079	9.90099e-09	1	0.180212	0.311927	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	6.68914	77.9631	
 25000	-88637.5	-1214.95	-41882.5	-10321.3	0.0669733	1	0.207043	9.65982	2.71193	0.00941797	19.8622	0.283453	2790	99	468	-41489.5	68.9046f	70.2877	4	1	1	0.128713	0.19802	0.019802	0.009901	0	0	0	0	0.918182	0.935714	0.284698	0.510638	0.835714	9.90099e-09	0.0792079	9.90099e-09	1	0.157143	0.264069	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	27.1771	90.5702	68.9046	70.2877	
 26000	-89127.1	-1214.95	-42372.1	-10455.9	0.0683137	1	0.201908	9.90552	2.69759	0.0266056	19.8622	0.292207	2840	99	455	-41489.5	43.0238f	96.5553	4	1	1	0.0891089	0.19802	0.019802	9.90099e-09	0	0	0	0	0.927273	0.947183	0.214789	0.473684	0.816901	9.90099e-09	0.0792079	9.90099e-09	1	0.176056	0.26009	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	21.4934	88.1766	43.0238	96.5553	
 27000	-90071.5	-1214.95	-43316.5	-10613.5	0.0694203	1	0.197682	10.1173	2.61512	0.0315632	19.7336	0.307867	2899	99	476	-41489.5	11.7799f	84.1967	4	1	1	0.0891089	0.19802	0.019802	9.90099e-09	0	0	0	0	0.936364	0.920962	0.238754	0.478261	0.793103	9.90099e-09	0.0792079	9.90099e-09	1	0.176471	0.298876	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	21.4934	88.1766	11.7799	84.1967	
 28000	-88899.3	-1214.95	-42144.3	-10464.4	0.0672825	1	0.192185	10.4066	2.48964	0.0212142	19.7845	0.332631	2843	99	431	-41489.5	10.0791f	62.9394	4	1	1	0.0891089	0.128713	0.019802	9.90099e-09	0	0	0	0	0.927273	0.958188	0.242105	0.517986	0.807692	9.90099e-09	0.0792079	9.90099e-09	1	0.146853	0.30531	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	21.4934	88.1766	10.0791	62.9394	
 29000	-89925.8	-1214.95	-43170.9	-10582.5	0.0714573	1	0.203596	9.82335	2.80111	0.00902068	19.7845	0.279074	2887	99	472	-41489.5	24.5106f	59.6824	4	1	1	0.0891089	0.128713	0.019802	9.90099e-09	0	0	0	0	0.872727	0.941379	0.241379	0.527778	0.865517	9.90099e-09	0.108911	9.90099e-09	1	0.162069	0.290254	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	23.2145	80.7687	21.4934	88.1766	24.5106	59.6824	
 30000	-90107.8	-1214.95	-43352.8	-10648.5	0.0714573	1	0.203596	9.82335	2.80111	0.0370946	19.7845	0.279074	2912	99	463	-41489.5	12.064f	90.6603	4	1	1	0.0891089	0.128713	0.019802	9.90099e-09	0	0	0	0	0.881818	0.951557	0.237113	0.530612	0.799308	9.90099e-09	0.108911	9.90099e-09	1	0.17301	0.272152	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	21.6899	79.4048	21.4934	88.1766	12.064	90.6603	
 31000	-92712.3	-1214.95	-45957.3	-11144.4	0.0757179	1	0.191327	10.4533	2.74361	0.0194679	19.7031	0.303195	3101	99	497	-41489.5	50.5754f	90.225	4	1	1	0.0891089	0.128713	0.019802	9.90099e-09	0	0	0	0	0.927273	0.951768	0.242038	0.506667	0.848875	9.90099e-09	0.108911	9.90099e-09	1	0.173633	0.261044	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	84.5906	90.9792	44.3449	89.9221	50.5754	90.225	
 32000	-93815.6	-1214.95	-47060.7	-11400	0.0786971	1	0.177938	11.2399	2.73547	0.0104003	19.8563	0.326979	3200	99	482	-41489.5	32.4844f	73.5779	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.918182	0.943925	0.3125	0.489051	0.827586	9.90099e-09	0.108911	9.90099e-09	1	0.137072	0.302469	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	84.5906	90.9792	44.3449	89.9221	32.4844	73.5779	
 33000	-95165.1	-1214.95	-48410.2	-11767.7	0.0811996	1	0.177939	11.2398	2.82458	0.0080879	19.86	0.316661	3345	99	456	-41489.5	35.8639f	71.6575	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.909091	0.952096	0.299401	0.540146	0.870482	9.90099e-09	0.108911	9.90099e-09	1	0.155224	0.294643	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	84.5906	90.9792	44.3449	89.9221	35.8639	71.6575	
 34000	-95858.7	-1214.95	-49103.8	-11954.9	0.0798092	1	0.16926	11.8161	2.6408	0.0257064	19.86	0.356065	3419	99	436	-41489.5	67.8707f	92.5778	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.918182	0.95614	0.195906	0.507246	0.868421	9.90099e-09	0.178218	9.90099e-09	1	0.149123	0.279817	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	67.8707	92.5778	
 35000	-96678.1	-1214.95	-49923.2	-11987.9	0.0797087	1	0.182313	10.9701	2.87748	0.00838263	19.9237	0.303382	3432	99	498	-41489.5	60.1038f	74.1975	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.918182	0.959184	0.248538	0.469799	0.812865	9.90099e-09	0.178218	9.90099e-09	1	0.182609	0.297571	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	60.1038	74.1975	
 36000	-95132.9	-1214.95	-48377.9	-11727.5	0.0792753	1	0.198034	10.0993	2.96452	0.0276329	19.6887	0.271097	3329	99	473	-41489.5	36.7889f	96.1342	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.936364	0.961078	0.253731	0.592233	0.844776	9.90099e-09	0.178218	9.90099e-09	1	0.161194	0.243802	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	36.7889	96.1342	
 37000	-96213.4	-1214.95	-49458.4	-11875.9	0.0805407	1	0.196259	10.1906	2.98486	0.000678288	19.6887	0.271685	3388	99	506	-41489.5	45.2342f	54.4541	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.872727	0.955357	0.310448	0.548077	0.840708	9.90099e-09	0.178218	9.90099e-09	1	0.165192	0.277108	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	45.2342	54.4541	
 38000	-95974.6	-1214.95	-49219.6	-11875.9	0.0805407	1	0.193513	10.3352	2.84193	0.0490905	19.5173	0.289398	3388	99	483	-41489.5	98.8557f	90.9382	4	1	1	0.0891089	0.128713	0.049505	9.90099e-09	0	0	0	0	0.918182	0.947368	0.289086	0.39726	0.846608	9.90099e-09	0.178218	9.90099e-09	1	0.15727	0.298387	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	98.8557	90.9382	
 39000	-95911.1	-1214.95	-49156.1	-11775.2	0.0805407	1	0.188288	10.622	2.98684	0.0203072	19.8972	0.282999	3348	99	520	-41489.5	83.4459f	73.4807	4	1	1	0.108911	0.128713	0.049505	9.90099e-09	0	0	0	0	0.918182	0.952239	0.271642	0.519608	0.805389	9.90099e-09	0.178218	9.90099e-09	1	0.157738	0.319231	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	83.4459	73.4807	
 40000	-97345.8	-1214.95	-50590.9	-12043.1	0.0822684	1	0.180172	11.1005	2.80436	0.00110959	19.6982	0.314991	3455	99	541	-41489.5	56.9546f	55.1919	4	1	1	0.108911	0.118812	0.049505	9.90099e-09	0	0	0	0	0.954545	0.930636	0.306122	0.462264	0.849711	9.90099e-09	0.0990099	9.90099e-09	1	0.179191	0.293103	0.666667	0.666667	0.666667	1	1	191751	1e+20	1e+20	8.08175	81.0739	73.8107	89.817	56.9546	55.1919	
