# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jul 18 09:18:04 BST 2019 [seed=123456795]
# -overwrite -seed 123456795 beast_input\beast0.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-47.64826714991666	0.4155086672989201	-48.063775817215586	0.4043076376996336	0.0	4.8427093204610525	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	7.603371224515727	-48.063775817215586
10	-17.26128443486692	-1.3640257039413133	-15.897258730925607	0.4043076376996336	0.0	4.8427093204610525	0.2584563028192118	0.023401945912972854	0.023401945912972854	0.2317699001097558	-0.09561585012286702	3.904825435857203	-0.39427256777630415	-0.39427256777630415	4.3544340521704745	4.510519469221042	-15.897258730925607
20	-20.8237931870479	-1.264917271652527	-19.558875915395372	0.4043076376996336	0.0	4.8427093204610525	0.3530979434358076	0.0034361005749072512	0.0034361005749072512	0.13781120199916358	-0.015576719981912157	2.832762726846304	-0.07063038049948575	-0.07063038049948576	7.258065226781136	4.768421820970784	-19.558875915395372
30	-16.995365983615166	-1.262895990391361	-15.732469993223805	0.4043076376996336	0.0	4.8427093204610525	0.2179118115072868	0.027410889178299164	0.027410889178299164	0.23452044585179146	-0.12125296932524927	4.657488082389111	-0.5443699768347589	-0.5443699768347589	4.327646834461525	4.373799663879376	-15.732469993223805
40	-17.744949573659216	-0.9943480708279253	-16.75060150283129	0.4043076376996336	0.0	4.8427093204610525	0.1615546565467502	0.03297593047396225	0.03297593047396225	0.20518786658888583	-0.18111794444073834	6.399792565753594	-1.028516540497537	-1.028516540497537	5.038876358134375	4.865987849902233	-16.75060150283129
50	-19.54177575650417	-0.9390245095661172	-18.602751246938052	0.4043076376996336	0.0	4.8427093204610525	0.2574662052822725	0.02469545975693672	0.02469545975693672	0.1133944495212094	-0.1445310311932728	3.9668696985222587	-0.8639194547396689	-0.8639194547396689	9.006921347915947	5.2139561211509164	-18.602751246938052
60	-20.17825829642187	-1.0064643852039141	-19.171793911217957	0.4043076376996336	0.0	4.8427093204610525	0.131904163796007	0.02683053523294484	0.02683053523294484	0.2505944281387881	-0.14757553917377292	7.750046509349878	-0.8297786086884169	-0.829778608688417	4.079354085358166	4.669928418235716	-19.171793911217957
70	-17.537308316026145	-0.9161567800830746	-16.62115153594307	0.4043076376996336	0.0	4.8427093204610525	0.2092946382960826	-0.0026726518233404486	-0.0026726518233404486	0.1341362641007008	0.015951085049435768	4.779169261153965	0.09522447583814161	0.09522447583814163	7.4570028364443575	4.8660118988151515	-16.62115153594307
80	-16.452898679382155	-1.2086598185209092	-15.244238860861245	0.4043076376996336	0.0	4.8427093204610525	0.21971400658073253	0.019934751984631332	0.019934751984631332	0.21177827464721302	-0.09241474341811404	4.590576944483785	-0.4321123732219208	-0.4321123732219208	4.762594532748228	4.44194332215986	-15.244238860861245
90	-17.107273465805445	-1.1486734836099528	-15.95859998219549	0.4043076376996336	0.0	4.8427093204610525	0.2128199581070923	-0.028249449798770452	-0.028249449798770452	0.199697045238108	0.13703073825648876	4.788727388995238	0.6774207090251075	0.6774207090251075	5.103414329927058	4.797787160995985	-15.95859998219549
100	-18.389142097584166	-0.9614659973227198	-17.427676100261447	0.4043076376996336	0.0	4.8427093204610525	0.1511785380196029	0.035575276251921306	0.035575276251921306	0.20838240814694464	-0.20043459566530814	6.891557135579816	-1.1765342913748558	-1.1765342913748558	4.999728824041786	4.7937495037026165	-17.427676100261447
110	-18.625280693169326	-1.452762399701231	-17.172518293468094	0.4043076376996336	0.0	4.8427093204610525	0.2818339433916519	0.04796297847735957	0.04796297847735957	0.24952686575931893	-0.18086346227833955	3.6681806829334063	-0.7050818781024604	-0.7050818781024603	4.143112300947078	4.373029632102133	-17.172518293468094
