# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jul 15 15:23:20 BST 2019 [seed=1234]
# -overwrite -seed 1234 beast_input\beast6.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	X.precision.col1	X.varCovar.X.precision.col1	X.diffusionRate	X.traitLikelihood
0	-39.87032916404608	0.5539276035831056	-40.42425676762919	7.0770238527270095	0.0	30.79180130144237	0.05	20.0	0.7861847760574364	-40.42425676762919
20	-40.9507009950216	0.4274937109583645	-41.378194705979965	7.0770238527270095	0.0	30.79180130144237	0.06352095405732854	15.742836593692944	0.5958816672668995	-41.378194705979965
40	-39.715315516676164	0.5860300482349106	-40.301345564911074	7.0770238527270095	0.0	30.79180130144237	0.04703010870806652	21.262974453394826	0.7858071622391843	-40.301345564911074
60	-39.50347597517131	0.6798259167899305	-40.18330189196124	7.0770238527270095	0.0	30.79180130144237	0.03928872772094366	25.45259309750897	0.7938605975151449	-40.18330189196124
80	-39.69570534786408	0.8017024269614461	-40.497407774825525	7.0770238527270095	0.0	30.79180130144237	0.03104471678007092	32.211600031150795	0.9717253282289248	-40.497407774825525
100	-39.74388552863334	0.814799552275904	-40.55868508090924	7.0770238527270095	0.0	30.79180130144237	0.03026565152687406	33.04075575944766	0.8070960690943706	-40.55868508090924
120	-39.94162627011847	0.8589378244416264	-40.800564094560094	7.0770238527270095	0.0	30.79180130144237	0.027777465493196547	36.0004047253673	0.8071645738359406	-40.800564094560094
140	-39.8338182710435	0.5607137534100701	-40.39453202445357	7.0770238527270095	0.0	30.79180130144237	0.04935766348574701	20.260278331221443	0.6447813695810023	-40.39453202445357
160	-39.56512957043309	0.6335199642912146	-40.19864953472431	7.0770238527270095	0.0	30.79180130144237	0.042943890582281374	23.28619942070641	0.7125778436545095	-40.19864953472431
180	-39.84984965198037	0.8399117206506255	-40.689761372631	7.0770238527270095	0.0	30.79180130144237	0.02882462751489231	34.69255585291944	0.8052766075660911	-40.689761372631
200	-39.53677511077089	0.7391985077025043	-40.275973618473394	7.0770238527270095	0.0	30.79180130144237	0.03503833887179322	28.540165778379013	0.6950771888685864	-40.275973618473394
220	-40.39714194689047	0.934484981084261	-41.33162692797473	7.0770238527270095	0.0	30.79180130144237	0.023973165132183616	41.71330712845735	0.8012779843478623	-41.33162692797473
240	-39.69164314488739	0.5919260602723067	-40.283569205159694	7.0770238527270095	0.0	30.79180130144237	0.04650327841403593	21.503860246080485	0.6684093123593821	-40.283569205159694
260	-39.56004694881002	0.7523222220611248	-40.31236917087114	7.0770238527270095	0.0	30.79180130144237	0.03416060777258263	29.27348385184768	0.8292401989276064	-40.31236917087114
280	-39.87183416445471	0.5536557805393234	-40.425489944994034	7.0770238527270095	0.0	30.79180130144237	0.050025894292579046	19.989647644306924	0.75912841831207	-40.425489944994034
300	-40.1678711530264	0.5086009235126414	-40.676472076539035	7.0770238527270095	0.0	30.79180130144237	0.054498742244719525	18.34904731396607	0.7387885514425064	-40.676472076539035
320	-39.51945068608873	0.6604986202645164	-40.17994930635325	7.0770238527270095	0.0	30.79180130144237	0.04077644268079942	24.523963697080283	0.697934066811602	-40.17994930635325
340	-39.91901516054385	0.854431646937375	-40.77344680748123	7.0770238527270095	0.0	30.79180130144237	0.02802208185015144	35.68614228405716	0.8192596824781551	-40.77344680748123
360	-39.574191309897714	0.6295607057825268	-40.20375201568024	7.0770238527270095	0.0	30.79180130144237	0.04327113008470377	23.11009668669359	0.6982350925304851	-40.20375201568024
380	-39.52283165161749	0.6577584955888516	-40.18059014720634	7.0770238527270095	0.0	30.79180130144237	0.04099169662259898	24.39518444934757	0.9010333099674883	-40.18059014720634
400	-40.79361741952402	0.9871621867734335	-41.78077960629745	7.0770238527270095	0.0	30.79180130144237	0.02162666775139641	46.23920853157931	0.8576767016725526	-41.78077960629745
420	-39.50450372254138	0.7085759763274619	-40.21307969886884	7.0770238527270095	0.0	30.79180130144237	0.03717194517395673	26.90200890268762	0.7070075254440253	-40.21307969886884
440	-39.56366053231509	0.7541180448285962	-40.317778577143685	7.0770238527270095	0.0	30.79180130144237	0.03404216679781945	29.375333419259743	0.7740953734188928	-40.317778577143685
460	-40.08444851702047	0.5199451690187644	-40.60439368603923	7.0770238527270095	0.0	30.79180130144237	0.05333804313367594	18.748344357024823	0.698150362369522	-40.60439368603923
480	-39.5500396503069	0.6408105700416011	-40.1908502203485	7.0770238527270095	0.0	30.79180130144237	0.04234750751733492	23.61414068090432	0.8186097089316542	-40.1908502203485
500	-40.782534774727004	0.4422857927802524	-41.22482056750726	7.0770238527270095	0.0	30.79180130144237	0.06177691273346005	16.18727702231667	0.7192945826351115	-41.22482056750726
520	-40.47850141320946	0.47211809520869497	-40.95061950841815	7.0770238527270095	0.0	30.79180130144237	0.058395924292371636	17.12448278056679	0.7075317879974464	-40.95061950841815
540	-39.509718382353164	0.6702025789335408	-40.179920961286705	7.0770238527270095	0.0	30.79180130144237	0.04002283705884041	24.985734982500844	0.7803503922758753	-40.179920961286705
560	-39.56557257349935	0.633319987058768	-40.19889256055812	7.0770238527270095	0.0	30.79180130144237	0.04296036199458387	23.277271269876003	0.7931289869590509	-40.19889256055812
580	-44.68767670647232	0.22030241180728183	-44.9079791182796	7.0770238527270095	0.0	30.79180130144237	0.09331308153854727	10.7166110422246	0.7156685955492618	-44.9079791182796
600	-39.70996993426796	0.5873301698232309	-40.29730010409119	7.0770238527270095	0.0	30.79180130144237	0.04691345036859457	21.315848485734776	0.7636658703105921	-40.29730010409119
620	-39.64873662232546	0.6036908735157851	-40.252427495841246	7.0770238527270095	0.0	30.79180130144237	0.04546885606472209	21.993075844630052	0.7823447194300034	-40.252427495841246
